range,percentage,min,max,fund_slug
"$3,000,000 - $10,000,000",100.0,3000000,10000000.0,bbtv-holdings
"$10,000,000 - $20,000,000",0.0,10000000,20000000.0,bbtv-holdings
"$20,000,000 - $50,000,000",0.0,20000000,50000000.0,bbtv-holdings
"$50,000,000+",0.0,50000000,,bbtv-holdings
"$0 - $1,000,000",33.33,0,1000000.0,development-bank-of-wales
"$1,000,000 - $3,000,000",33.33,1000000,3000000.0,development-bank-of-wales
"$3,000,000 - $10,000,000",33.33,3000000,10000000.0,development-bank-of-wales
"$10,000,000 - $20,000,000",0.0,10000000,20000000.0,development-bank-of-wales
"$20,000,000 - $50,000,000",0.0,20000000,50000000.0,development-bank-of-wales
"$50,000,000+",0.0,50000000,,development-bank-of-wales
"$0 - $1,000,000",0.0,0,1000000.0,trustdao-capital
"$1,000,000 - $3,000,000",0.0,1000000,3000000.0,trustdao-capital
"$3,000,000 - $10,000,000",100.0,3000000,10000000.0,trustdao-capital
"$10,000,000 - $20,000,000",0.0,10000000,20000000.0,trustdao-capital
"$20,000,000 - $50,000,000",0.0,20000000,50000000.0,trustdao-capital
"$50,000,000+",0.0,50000000,,trustdao-capital
"$0 - $1,000,000",15.0,0,1000000.0,blocksync-ventures
"$1,000,000 - $3,000,000",70.0,1000000,3000000.0,blocksync-ventures
"$3,000,000 - $10,000,000",15.0,3000000,10000000.0,blocksync-ventures
"$10,000,000 - $20,000,000",0.0,10000000,20000000.0,blocksync-ventures
"$20,000,000 - $50,000,000",0.0,20000000,50000000.0,blocksync-ventures
"$50,000,000+",0.0,50000000,,blocksync-ventures
"$0 - $1,000,000",100.0,0,1000000.0,national-science-foundation
"$1,000,000 - $3,000,000",0.0,1000000,3000000.0,national-science-foundation
"$3,000,000 - $10,000,000",0.0,3000000,10000000.0,national-science-foundation
"$10,000,000 - $20,000,000",0.0,10000000,20000000.0,national-science-foundation
"$20,000,000 - $50,000,000",0.0,20000000,50000000.0,national-science-foundation
"$50,000,000+",0.0,50000000,,national-science-foundation
"$0 - $1,000,000",50.0,0,1000000.0,nem-ventures
"$1,000,000 - $3,000,000",0.0,1000000,3000000.0,nem-ventures
"$3,000,000 - $10,000,000",50.0,3000000,10000000.0,nem-ventures
"$10,000,000 - $20,000,000",0.0,10000000,20000000.0,nem-ventures
"$20,000,000 - $50,000,000",0.0,20000000,50000000.0,nem-ventures
"$50,000,000+",0.0,50000000,,nem-ventures
"$0 - $1,000,000",50.0,0,1000000.0,bitnomial
"$1,000,000 - $3,000,000",0.0,1000000,3000000.0,bitnomial
"$3,000,000 - $10,000,000",50.0,3000000,10000000.0,bitnomial
"$10,000,000 - $20,000,000",0.0,10000000,20000000.0,bitnomial
"$20,000,000 - $50,000,000",0.0,20000000,50000000.0,bitnomial
"$50,000,000+",0.0,50000000,,bitnomial
"$0 - $1,000,000",0.0,0,1000000.0,blockware-solutions
"$1,000,000 - $3,000,000",0.0,1000000,3000000.0,blockware-solutions
"$3,000,000 - $10,000,000",100.0,3000000,10000000.0,blockware-solutions
"$10,000,000 - $20,000,000",0.0,10000000,20000000.0,blockware-solutions
"$20,000,000 - $50,000,000",0.0,20000000,50000000.0,blockware-solutions
"$50,000,000+",0.0,50000000,,blockware-solutions
"$0 - $1,000,000",0.0,0,1000000.0,stone-ridge-asset-management
"$1,000,000 - $3,000,000",0.0,1000000,3000000.0,stone-ridge-asset-management
"$3,000,000 - $10,000,000",0.0,3000000,10000000.0,stone-ridge-asset-management
"$10,000,000 - $20,000,000",50.0,10000000,20000000.0,stone-ridge-asset-management
"$20,000,000 - $50,000,000",50.0,20000000,50000000.0,stone-ridge-asset-management
"$50,000,000+",0.0,50000000,,stone-ridge-asset-management
"$0 - $1,000,000",0.0,0,1000000.0,stronghold-resource-partners
"$1,000,000 - $3,000,000",0.0,1000000,3000000.0,stronghold-resource-partners
"$3,000,000 - $10,000,000",50.0,3000000,10000000.0,stronghold-resource-partners
"$10,000,000 - $20,000,000",0.0,10000000,20000000.0,stronghold-resource-partners
"$20,000,000 - $50,000,000",50.0,20000000,50000000.0,stronghold-resource-partners
