id,slug,name,tier,category,country,tabs,fund_slug
9610,ltp-liquidity-tech,LTP | LiquidityTech,4.0,"{'id': 3, 'name': 'Venture', 'slug': 'venture'}",,"['analytics', 'fundingRounds', 'portfolio']",ltp-liquidity-tech
11103,salt,SALT,4.0,"{'id': 3, 'name': 'Venture', 'slug': 'venture'}",,"['analytics', 'fundingRounds', 'portfolio']",salt
674,blockdaemon-ventures,Blockdaemon,4.0,"{'id': 3, 'name': 'Venture', 'slug': 'venture'}",United States,"['analytics', 'fundingRounds', 'portfolio']",blockdaemon-ventures
11121,xdc-foundation,XDC Foundation,4.0,"{'id': 3, 'name': 'Venture', 'slug': 'venture'}",,"['analytics', 'fundingRounds', 'portfolio']",xdc-foundation
11092,cerca-partners,Cerca Partners,4.0,"{'id': 3, 'name': 'Venture', 'slug': 'venture'}",Israel,"['analytics', 'fundingRounds', 'portfolio']",cerca-partners
11094,dfs-lab,DFS Lab,4.0,"{'id': 3, 'name': 'Venture', 'slug': 'venture'}",United States,"['analytics', 'fundingRounds', 'portfolio']",dfs-lab
11091,haymaker-ventures,Haymaker Ventures,4.0,"{'id': 3, 'name': 'Venture', 'slug': 'venture'}",,"['analytics', 'fundingRounds', 'portfolio']",haymaker-ventures
11093,the-venture-dept,The Venture Dept,4.0,"{'id': 3, 'name': 'Venture', 'slug': 'venture'}",,"['analytics', 'fundingRounds', 'portfolio']",the-venture-dept
11095,topology-ventures,Topology Ventures,4.0,"{'id': 3, 'name': 'Venture', 'slug': 'venture'}",,"['analytics', 'fundingRounds', 'portfolio']",topology-ventures
9654,flowdesk,Flowdesk,4.0,"{'id': 8, 'name': 'Corporation', 'slug': 'corporate'}",France,"['analytics', 'fundingRounds', 'portfolio']",flowdesk
10293,aegis-ventures,Aegis Ventures,4.0,"{'id': 3, 'name': 'Venture', 'slug': 'venture'}",,"['analytics', 'fundingRounds', 'portfolio']",aegis-ventures
10322,comfy-capital,Comfy Capital,4.0,"{'id': 3, 'name': 'Venture', 'slug': 'venture'}",,"['analytics', 'fundingRounds', 'portfolio']",comfy-capital
10156,tpc-ventures,TPC,4.0,"{'id': 3, 'name': 'Venture', 'slug': 'venture'}",,"['analytics', 'fundingRounds', 'portfolio']",tpc-ventures
1004,trammell-venture-partners,TVP (Trammell Venture Partners),4.0,"{'id': 3, 'name': 'Venture', 'slug': 'venture'}",United States,"['analytics', 'fundingRounds', 'portfolio']",trammell-venture-partners
4509,gd1,GD1,4.0,"{'id': 3, 'name': 'Venture', 'slug': 'venture'}",New Zealand,"['analytics', 'fundingRounds', 'portfolio']",gd1
9970,hf0,HF0,4.0,"{'id': 3, 'name': 'Venture', 'slug': 'venture'}",,"['analytics', 'fundingRounds', 'portfolio']",hf0
9677,spencer-ventures,Spencer Ventures,4.0,"{'id': 3, 'name': 'Venture', 'slug': 'venture'}",,"['analytics', 'fundingRounds', 'portfolio']",spencer-ventures
9248,sentinel-global,Sentinel Global,4.0,"{'id': 3, 'name': 'Venture', 'slug': 'venture'}",United States,"['analytics', 'fundingRounds', 'portfolio']",sentinel-global
11073,blockchain-founders-capital,Blockchain Founders Capital,4.0,"{'id': 3, 'name': 'Venture', 'slug': 'venture'}",Germany,"['analytics', 'fundingRounds', 'portfolio']",blockchain-founders-capital
11101,elevator-ventures,Elevator Ventures,4.0,"{'id': 3, 'name': 'Venture', 'slug': 'venture'}",Austria,"['fundingRounds', 'portfolio']",elevator-ventures
10870,becker-ventures,Becker Ventures,4.0,"{'id': 3, 'name': 'Venture', 'slug': 'venture'}",,"['analytics', 'fundingRounds', 'portfolio']",becker-ventures
10201,dead-king-society,Dead King Society,4.0,"{'id': 3, 'name': 'Venture', 'slug': 'venture'}",,"['analytics', 'fundingRounds', 'portfolio']",dead-king-society
10066,awakening-ventures,Awakening Ventures,4.0,"{'id': 3, 'name': 'Venture', 'slug': 'venture'}",Hong Kong,"['analytics', 'fundingRounds', 'portfolio']",awakening-ventures
9547,web3Labs,Web3Labs,4.0,"{'id': 3, 'name': 'Venture', 'slug': 'venture'}",,"['analytics', 'fundingRounds', 'portfolio']",web3Labs
11055,ab-dao,AB DAO,4.0,"{'id': 7, 'name': 'DAO', 'slug': 'dao'}",Singapore,"['analytics', 'fundingRounds', 'portfolio']",ab-dao
11100,obelisk-capital,Obelisk Capital,4.0,"{'id': 3, 'name': 'Venture', 'slug': 'venture'}",,"['analytics', 'fundingRounds', 'portfolio']",obelisk-capital
11056,seed-club,Seed Club,4.0,"{'id': 3, 'name': 'Venture', 'slug': 'venture'}",,"['analytics', 'fundingRounds', 'portfolio']",seed-club
11054,threedao,ThreeDAO,4.0,"{'id': 7, 'name': 'DAO', 'slug': 'dao'}",Hong Kong,"['analytics', 'fundingRounds', 'portfolio']",threedao
10655,ankaa,Ankaa,4.0,"{'id': 2, 'name': 'Incubator', 'slug': 'incubation'}",,"['analytics', 'fundingRounds', 'portfolio']",ankaa
7323,uphold,Uphold,4.0,"{'id': 8, 'name': 'Corporation', 'slug': 'corporate'}",United States,"['analytics', 'fundingRounds', 'portfolio']",uphold
11048,kbw-ventures,KBW Ventures,4.0,"{'id': 3, 'name': 'Venture', 'slug': 'venture'}",UAE,"['analytics', 'fundingRounds', 'portfolio']",kbw-ventures
11050,sentor-investments,Sentor Investments,4.0,"{'id': 3, 'name': 'Venture', 'slug': 'venture'}",Australia,"['analytics', 'fundingRounds', 'portfolio']",sentor-investments
10250,oasis-labs,Oasis Labs,4.0,"{'id': 3, 'name': 'Venture', 'slug': 'venture'}",,"['analytics', 'fundingRounds', 'portfolio']",oasis-labs
11035,blocklike,Blocklike,4.0,"{'id': 3, 'name': 'Venture', 'slug': 'venture'}",China,"['analytics', 'fundingRounds', 'portfolio']",blocklike
11030,chainfir-capital,Chainfir Capital,4.0,"{'id': 3, 'name': 'Venture', 'slug': 'venture'}",,"['analytics', 'fundingRounds', 'portfolio']",chainfir-capital
11031,echo3,Echo3,4.0,"{'id': 2, 'name': 'Incubator', 'slug': 'incubation'}",,"['analytics', 'fundingRounds', 'portfolio']",echo3
11032,greenwood-global-capital,Greenwood Global Capital,4.0,"{'id': 3, 'name': 'Venture', 'slug': 'venture'}",United Kingdom,"['analytics', 'fundingRounds', 'portfolio']",greenwood-global-capital
11036,hermeneutic-investments,Hermeneutic Investments,4.0,"{'id': 3, 'name': 'Venture', 'slug': 'venture'}",Taiwan,"['analytics', 'fundingRounds', 'portfolio']",hermeneutic-investments
11044,hoskinson-family-office,Hoskinson Family Office,4.0,"{'id': 3, 'name': 'Venture', 'slug': 'venture'}",United States,"['fundingRounds', 'portfolio']",hoskinson-family-office
11034,starbase,Starbase,4.0,"{'id': 3, 'name': 'Venture', 'slug': 'venture'}",,"['analytics', 'fundingRounds', 'portfolio']",starbase
