name,code,normal,lead,categories,fund_slug
Kenya,KE,1,0,"[{'name': 'CeFi', 'count': 1, 'percent': 100.0}]",redbeardvc
Netherlands,NL,1,0,"[{'name': 'NFT', 'count': 1, 'percent': 100.0}]",redbeardvc
Greece,GR,1,0,"[{'name': 'Blockchain Service', 'count': 1, 'percent': 100.0}]",redbeardvc
United States,US,1,0,"[{'name': 'DeFi', 'count': 1, 'percent': 100.0}]",optic-capital
United States,US,4,0,"[{'name': 'Blockchain Service', 'count': 2, 'percent': 50.0}, {'name': 'Blockchain Infrastructure', 'count': 1, 'percent': 25.0}, {'name': 'NFT', 'count': 1, 'percent': 25.0}]",sparkle-ventures
France,FR,3,0,"[{'name': 'Blockchain Service', 'count': 1, 'percent': 33.33}, {'name': 'GameFi', 'count': 1, 'percent': 33.33}, {'name': 'CeFi', 'count': 1, 'percent': 33.33}]",sparkle-ventures
Canada,CA,3,0,"[{'name': 'Blockchain Service', 'count': 3, 'percent': 100.0}]",sparkle-ventures
Switzerland,CH,0,1,"[{'name': 'Blockchain Service', 'count': 1, 'percent': 100.0}]",sparkle-ventures
Hong Kong,HK,1,0,"[{'name': 'NFT', 'count': 1, 'percent': 100.0}]",sparkle-ventures
Australia,AU,1,0,"[{'name': 'NFT', 'count': 1, 'percent': 100.0}]",sparkle-ventures
Singapore,SG,0,1,"[{'name': 'DeFi', 'count': 1, 'percent': 100.0}]",sparkle-ventures
United States,US,1,0,"[{'name': 'Blockchain Infrastructure', 'count': 1, 'percent': 100.0}]",blockbuilders
United States,US,1,0,"[{'name': 'Blockchain Service', 'count': 1, 'percent': 100.0}]",aimtop-ventures
United States,US,0,1,"[{'name': 'Blockchain Service', 'count': 1, 'percent': 100.0}]",camford-capital
United States,US,1,0,"[{'name': 'Blockchain Service', 'count': 1, 'percent': 100.0}]",ldv-partners
United States,US,4,0,"[{'name': 'Social', 'count': 1, 'percent': 25.0}, {'name': 'Blockchain Infrastructure', 'count': 1, 'percent': 25.0}, {'name': 'DeFi', 'count': 1, 'percent': 25.0}, {'name': 'CeFi', 'count': 1, 'percent': 25.0}]",l-bank
France,FR,2,0,"[{'name': 'Blockchain Service', 'count': 1, 'percent': 50.0}, {'name': 'CeFi', 'count': 1, 'percent': 50.0}]",l-bank
Finland,FI,1,0,"[{'name': 'GameFi', 'count': 1, 'percent': 100.0}]",l-bank
Taiwan,TW,0,1,"[{'name': 'NFT', 'count': 1, 'percent': 100.0}]",l-bank
United Kingdom,GB,1,0,"[{'name': 'Chain', 'count': 1, 'percent': 100.0}]",l-bank
United States,US,5,0,"[{'name': 'Blockchain Service', 'count': 1, 'percent': 20.0}, {'name': 'GameFi', 'count': 1, 'percent': 20.0}, {'name': 'Social', 'count': 1, 'percent': 20.0}, {'name': 'DeFi', 'count': 1, 'percent': 20.0}, {'name': 'CeFi', 'count': 1, 'percent': 20.0}]",antalpha-ventures
