id,slug,name,tier,category,country,tabs,fund_slug
10108,3base,3Base,4.0,"{'id': 8, 'name': 'Corporation', 'slug': 'corporate'}",,"['fundingRounds', 'portfolio']",3base
1539,perpetual-value-partners,Perpetual Value Partners,4.0,"{'id': 8, 'name': 'Corporation', 'slug': 'corporate'}",United States,"['analytics', 'fundingRounds', 'portfolio']",perpetual-value-partners
10054,foundership,Foundership,4.0,"{'id': 3, 'name': 'Venture', 'slug': 'venture'}",UAE,"['analytics', 'upcomingCrowdsales', 'fundingRounds', 'portfolio']",foundership
9626,zellic,Zellic,4.0,"{'id': 3, 'name': 'Venture', 'slug': 'venture'}",,"['analytics', 'fundingRounds', 'portfolio']",zellic
9570,press-start-capital,Press Start Capital,4.0,"{'id': 3, 'name': 'Venture', 'slug': 'venture'}",,"['analytics', 'fundingRounds', 'portfolio']",press-start-capital
10102,sign-vc,Sign VC,4.0,"{'id': 3, 'name': 'Venture', 'slug': 'venture'}",,"['analytics', 'fundingRounds', 'portfolio']",sign-vc
10148,untamed-ventures,Untamed Ventures,4.0,"{'id': 3, 'name': 'Venture', 'slug': 'venture'}",,"['analytics', 'fundingRounds', 'portfolio']",untamed-ventures
9625,compa-capital,Compa Capital,4.0,"{'id': 3, 'name': 'Venture', 'slug': 'venture'}",,"['analytics', 'fundingRounds', 'portfolio']",compa-capital
10106,humans-ai,Humans.ai,4.0,"{'id': 8, 'name': 'Corporation', 'slug': 'corporate'}",,"['fundingRounds', 'portfolio']",humans-ai
9987,babylon,Babylon,4.0,"{'id': 8, 'name': 'Corporation', 'slug': 'corporate'}",,"['analytics', 'fundingRounds', 'portfolio']",babylon
10095,pexx,PEXX,4.0,"{'id': 8, 'name': 'Corporation', 'slug': 'corporate'}",,"['fundingRounds', 'portfolio']",pexx
10098,zk-ventures,ZK Ventures,4.0,"{'id': 3, 'name': 'Venture', 'slug': 'venture'}",,"['analytics', 'fundingRounds', 'portfolio']",zk-ventures
10090,eternal-asia-group,Eternal Asia Group,4.0,"{'id': 3, 'name': 'Venture', 'slug': 'venture'}",,"['analytics', 'fundingRounds', 'portfolio']",eternal-asia-group
10089,sdm-education,SDM Education,4.0,"{'id': 3, 'name': 'Venture', 'slug': 'venture'}",,"['analytics', 'fundingRounds', 'portfolio']",sdm-education
10091,sunfund-fortuna-global-opportunities,Sunfund Fortuna Global Opportunities,4.0,"{'id': 3, 'name': 'Venture', 'slug': 'venture'}",,"['analytics', 'fundingRounds', 'portfolio']",sunfund-fortuna-global-opportunities
10088,TigerBCDAO,TigerBCDAO,4.0,"{'id': 3, 'name': 'Venture', 'slug': 'venture'}",,"['analytics', 'fundingRounds', 'portfolio']",TigerBCDAO
9499,edessa-capital,Edessa Capital,4.0,"{'id': 3, 'name': 'Venture', 'slug': 'venture'}",,"['analytics', 'upcomingCrowdsales', 'fundingRounds', 'portfolio']",edessa-capital
10082,iberia-capital,Iberia Capital,4.0,"{'id': 3, 'name': 'Venture', 'slug': 'venture'}",,"['analytics', 'fundingRounds', 'portfolio']",iberia-capital
10072,nuclea,Nuclea,4.0,"{'id': 3, 'name': 'Venture', 'slug': 'venture'}",,"['analytics', 'fundingRounds', 'portfolio']",nuclea
2490,momentum-6,Momentum 6,4.0,"{'id': 3, 'name': 'Venture', 'slug': 'venture'}",United States,"['analytics', 'upcomingCrowdsales', 'fundingRounds', 'portfolio']",momentum-6
9958,sts-digital,STS Digital,4.0,"{'id': 3, 'name': 'Venture', 'slug': 'venture'}",,"['analytics', 'fundingRounds', 'portfolio']",sts-digital
9509,liquidx,LiquidX,4.0,"{'id': 3, 'name': 'Venture', 'slug': 'venture'}",,"['analytics', 'fundingRounds', 'portfolio']",liquidx
10071,arena-holdings,Arena Holdings,4.0,"{'id': 3, 'name': 'Venture', 'slug': 'venture'}",,"['analytics', 'fundingRounds', 'portfolio']",arena-holdings
10070,dclm,DCLM,4.0,"{'id': 3, 'name': 'Venture', 'slug': 'venture'}",,"['analytics', 'fundingRounds', 'portfolio']",dclm
10067,precision-edge-capital,Precision Edge Capital,4.0,"{'id': 3, 'name': 'Venture', 'slug': 'venture'}",,"['analytics', 'fundingRounds', 'portfolio']",precision-edge-capital
4987,crypto-banter,Crypto Banter,4.0,"{'id': 3, 'name': 'Venture', 'slug': 'venture'}",South Africa,"['analytics', 'fundingRounds', 'portfolio']",crypto-banter
9331,vvv,vVv,4.0,"{'id': 3, 'name': 'Venture', 'slug': 'venture'}",United Kingdom,"['analytics', 'upcomingCrowdsales', 'fundingRounds', 'portfolio']",vvv
8641,factor,Factor,4.0,"{'id': 8, 'name': 'Corporation', 'slug': 'corporate'}",,"['analytics', 'fundingRounds', 'portfolio']",factor
10053,fat-cat-ventures,Fat Cat Ventures,4.0,"{'id': 3, 'name': 'Venture', 'slug': 'venture'}",,"['analytics', 'upcomingCrowdsales', 'fundingRounds', 'portfolio']",fat-cat-ventures
9611,vertex-labs,Vertex Labs,4.0,"{'id': 3, 'name': 'Venture', 'slug': 'venture'}",,"['analytics', 'fundingRounds', 'portfolio']",vertex-labs
10057,astrax-capital,AstraX Capital,4.0,"{'id': 3, 'name': 'Venture', 'slug': 'venture'}",,"['analytics', 'upcomingCrowdsales', 'fundingRounds', 'portfolio']",astrax-capital
10056,gydra-capital,Gydra Capital,4.0,"{'id': 3, 'name': 'Venture', 'slug': 'venture'}",,"['analytics', 'upcomingCrowdsales', 'fundingRounds', 'portfolio']",gydra-capital
