date,company,amount,stage,category,formatted_amount,timeline,fund_slug
"Aug 24, 2024","{'name': 'Nautilus Chain', 'key': 'nautilus-chain', 'logo': 'https://img.cryptorank.io/coins/60x60.nautilus_chain1681721432448.png'}",0.0,M&A,"{'name': 'Chain', 'slug': 'chain'}",$0,"Aug 24, 2024 • M&A",3base
"Sep 14, 2022","{'name': 'Infinity Exchange', 'key': 'infinity-exchange', 'logo': 'https://img.cryptorank.io/coins/60x60.infinity_exchange1663661062158.png'}",4200000.0,Seed,"{'name': 'DeFi', 'slug': 'defi'}","$4,200,000","Sep 14, 2022 • Seed",block0
"Oct 15, 2022","{'name': 't2.world', 'key': 't-2-world', 'logo': 'https://img.cryptorank.io/coins/60x60.t_2_world1665993912559.png'}",3400000.0,Seed,"{'name': 'Blockchain Service', 'slug': 'blockchain-service'}","$3,400,000","Oct 15, 2022 • Seed",block0
"May 26, 2022","{'name': 'Tamago', 'key': 'tamago', 'logo': 'https://img.cryptorank.io/coins/60x60.tamago1671714019193.png'}",1000000.0,Seed,"{'name': 'Social', 'slug': 'social'}","$1,000,000","May 26, 2022 • Seed",block0
"Jun 02, 2022","{'name': 'Souq', 'key': 'souq', 'logo': 'https://img.cryptorank.io/coins/60x60.souq1665999889790.png'}",3300000.0,Pre Seed,"{'name': 'DeFi', 'slug': 'defi'}","$3,300,000","Jun 02, 2022 • Pre Seed",block0
"Aug 22, 2024","{'name': 'Arch Lending', 'key': 'arch-lending', 'logo': 'https://img.cryptorank.io/coins/60x60.arch1724842973277.png'}",5000000.0,Seed,"{'name': 'CeFi', 'slug': 'ce-fi'}","$5,000,000","Aug 22, 2024 • Seed",block0
"Oct 05, 2021","{'name': 'Hodl Hodl', 'key': 'hodl-hodl', 'logo': 'https://img.cryptorank.io/coins/60x60.hodl_hodl1670424699050.png'}",0.0,Series B,"{'name': 'CeFi', 'slug': 'ce-fi'}",$0,"Oct 05, 2021 • Series B",xbto-group
"Nov 28, 2022","{'name': 'Kiln', 'key': 'kiln', 'logo': 'https://img.cryptorank.io/coins/60x60.kiln1669651001619.png'}",17000000.0,Series A,"{'name': 'CeFi', 'slug': 'ce-fi'}","$17,000,000","Nov 28, 2022 • Series A",xbto-group
"Jun 21, 2021","{'name': 'Nayms', 'key': 'nayms', 'logo': 'https://img.cryptorank.io/coins/60x60.nayms1671726952615.png'}",6000000.0,Undisclosed,"{'name': 'Blockchain Service', 'slug': 'blockchain-service'}","$6,000,000","Jun 21, 2021 • Undisclosed",xbto-group
"Feb 07, 2024","{'name': 'Omega', 'key': 'omega', 'logo': 'https://img.cryptorank.io/coins/60x60.omega1707297146142.png'}",6000000.0,Undisclosed,"{'name': 'DeFi', 'slug': 'defi'}","$6,000,000","Feb 07, 2024 • Undisclosed",xbto-group
"Aug 22, 2024","{'name': 'Credbull', 'key': 'credbull', 'logo': 'https://img.cryptorank.io/coins/60x60.credbull1724321334475.png'}",5200000.0,Undisclosed,"{'name': 'DeFi', 'slug': 'defi'}","$5,200,000","Aug 22, 2024 • Undisclosed",xbto-group
"Oct 04, 2022","{'name': 'Horizon Blockchain Games', 'key': 'horizon-blockchain-games', 'logo': 'https://img.cryptorank.io/coins/60x60.horizon_blockchain_games1664889879081.png'}",40000000.0,Series A,"{'name': 'GameFi', 'slug': 'gamefi'}","$40,000,000","Oct 04, 2022 • Series A",perpetual-value-partners
"Jun 29, 2021","{'name': 'Coinvise', 'key': 'coinvise', 'logo': 'https://img.cryptorank.io/coins/60x60.coinvise1721752080783.png'}",2500000.0,Seed,"{'name': 'Social', 'slug': 'social'}","$2,500,000","Jun 29, 2021 • Seed",perpetual-value-partners
"Jun 02, 2022","{'name': 'Souq', 'key': 'souq', 'logo': 'https://img.cryptorank.io/coins/60x60.souq1665999889790.png'}",3300000.0,Pre Seed,"{'name': 'DeFi', 'slug': 'defi'}","$3,300,000","Jun 02, 2022 • Pre Seed",perpetual-value-partners
"Aug 22, 2024","{'name': 'Arch Lending', 'key': 'arch-lending', 'logo': 'https://img.cryptorank.io/coins/60x60.arch1724842973277.png'}",5000000.0,Seed,"{'name': 'CeFi', 'slug': 'ce-fi'}","$5,000,000","Aug 22, 2024 • Seed",perpetual-value-partners
"Jan 01, 2024","{'name': 'Lendr.fi', 'key': 'lender-fi', 'logo': 'https://img.cryptorank.io/coins/60x60.lendr_fi1741253860818.png'}",100000.0,Incubation,"{'name': 'DeFi', 'slug': 'defi'}","$100,000","Jan 01, 2024 • Incubation",foundership
"Aug 22, 2024","{'name': 'Ducat', 'key': 'ducat', 'logo': 'https://img.cryptorank.io/coins/60x60.ducat1724403519475.png'}",1250000.0,Pre Seed,"{'name': 'DeFi', 'slug': 'defi'}","$1,250,000","Aug 22, 2024 • Pre Seed",foundership
"Aug 05, 2024","{'name': 'Zoth', 'key': 'zoth', 'logo': 'https://img.cryptorank.io/coins/60x60.zoth1712744612028.png'}",4000000.0,Strategic,"{'name': 'DeFi', 'slug': 'defi'}","$4,000,000","Aug 05, 2024 • Strategic",foundership
"Mar 21, 2024","{'name': 'Tensorplex Labs', 'key': 'tensorplex-labs', 'logo': 'https://img.cryptorank.io/coins/60x60.tensorplex_labs1711035302315.png'}",3000000.0,Seed,"{'name': 'Blockchain Infrastructure', 'slug': 'blockchain-infrastructure'}","$3,000,000","Mar 21, 2024 • Seed",zellic
"Feb 03, 2024","{'name': 'Scallop', 'key': 'scallop-sui', 'logo': 'https://img.cryptorank.io/coins/60x60.scallop1705914571546.png'}",3000000.0,Undisclosed,"{'name': 'DeFi', 'slug': 'defi'}","$3,000,000","Feb 03, 2024 • Undisclosed",zellic
"Aug 22, 2024","{'name': 'Code4rena', 'key': 'code-4-rena', 'logo': 'https://img.cryptorank.io/coins/60x60.code_4_rena1678976113223.png'}",0.0,M&A,"{'name': 'Blockchain Service', 'slug': 'blockchain-service'}",$0,"Aug 22, 2024 • M&A",zellic
"Feb 09, 2024","{'name': 'The Mystery Society', 'key': 'the-mystery-society', 'logo': 'https://img.cryptorank.io/coins/60x60.the_mystery_society1707730359302.png'}",3000000.0,Seed,"{'name': 'GameFi', 'slug': 'gamefi'}","$3,000,000","Feb 09, 2024 • Seed",press-start-capital
"Aug 22, 2024","{'name': 'SatLayer', 'key': 'satlayer', 'logo': 'https://img.cryptorank.io/coins/60x60.sat_layer1724337570879.png'}",8000000.0,Pre Seed,"{'name': 'DeFi', 'slug': 'defi'}","$8,000,000","Aug 22, 2024 • Pre Seed",press-start-capital
