name,code,normal,lead,categories,fund_slug
United States,US,7,0,"[{'name': 'DeFi', 'count': 4, 'percent': 57.14}, {'name': 'Blockchain Service', 'count': 2, 'percent': 28.57}, {'name': 'Social', 'count': 1, 'percent': 14.29}]",block0
United Kingdom,GB,3,0,"[{'name': 'DeFi', 'count': 2, 'percent': 66.67}, {'name': 'Blockchain Service', 'count': 1, 'percent': 33.33}]",block0
Cayman Islands,KY,1,0,"[{'name': 'Blockchain Service', 'count': 1, 'percent': 100.0}]",block0
Japan,JP,1,0,"[{'name': 'Social', 'count': 1, 'percent': 100.0}]",block0
Sweden,SE,1,0,"[{'name': 'GameFi', 'count': 1, 'percent': 100.0}]",block0
Switzerland,CH,1,0,"[{'name': 'Social', 'count': 1, 'percent': 100.0}]",block0
United Kingdom,GB,2,1,"[{'name': 'Blockchain Service', 'count': 2, 'percent': 66.67}, {'name': 'CeFi', 'count': 1, 'percent': 33.33}]",xbto-group
France,FR,1,0,"[{'name': 'CeFi', 'count': 1, 'percent': 100.0}]",xbto-group
India,IN,1,0,"[{'name': 'DeFi', 'count': 1, 'percent': 100.0}]",xbto-group
United States,US,1,0,"[{'name': 'DeFi', 'count': 1, 'percent': 100.0}]",xbto-group
United States,US,2,0,"[{'name': 'Social', 'count': 1, 'percent': 50.0}, {'name': 'DeFi', 'count': 1, 'percent': 50.0}]",perpetual-value-partners
Canada,CA,1,0,"[{'name': 'GameFi', 'count': 1, 'percent': 100.0}]",perpetual-value-partners
India,IN,1,0,"[{'name': 'DeFi', 'count': 1, 'percent': 100.0}]",foundership
United States,US,1,0,"[{'name': 'Blockchain Service', 'count': 1, 'percent': 100.0}]",zellic
Singapore,SG,1,0,"[{'name': 'GameFi', 'count': 1, 'percent': 100.0}]",atesis-capital
Spain,ES,1,0,"[{'name': 'Social', 'count': 1, 'percent': 100.0}]",atesis-capital
Thailand,TH,1,0,"[{'name': 'GameFi', 'count': 1, 'percent': 100.0}]",atesis-capital
United Kingdom,GB,1,0,"[{'name': 'GameFi', 'count': 1, 'percent': 100.0}]",atesis-capital
Israel,IL,3,1,"[{'name': 'DeFi', 'count': 2, 'percent': 50.0}, {'name': 'Blockchain Service', 'count': 1, 'percent': 25.0}, {'name': 'GameFi', 'count': 1, 'percent': 25.0}]",nodecapital
United Kingdom,GB,2,0,"[{'name': 'Blockchain Infrastructure', 'count': 2, 'percent': 100.0}]",nodecapital
United States,US,2,0,"[{'name': 'DeFi', 'count': 1, 'percent': 50.0}, {'name': 'Chain', 'count': 1, 'percent': 50.0}]",nodecapital
Cayman Islands,KY,2,0,"[{'name': 'DeFi', 'count': 2, 'percent': 100.0}]",nodecapital
Switzerland,CH,2,0,"[{'name': 'Blockchain Infrastructure', 'count': 1, 'percent': 50.0}, {'name': 'DeFi', 'count': 1, 'percent': 50.0}]",nodecapital
New Zealand,NZ,1,0,"[{'name': 'Blockchain Infrastructure', 'count': 1, 'percent': 100.0}]",nodecapital
China,CN,1,0,"[{'name': 'Others', 'count': 1, 'percent': 100.0}]",nodecapital
Singapore,SG,1,0,"[{'name': 'GameFi', 'count': 1, 'percent': 100.0}]",enzacresearch
United Kingdom,GB,1,0,"[{'name': 'GameFi', 'count': 1, 'percent': 100.0}]",enzacresearch
United States,US,1,0,"[{'name': 'GameFi', 'count': 1, 'percent': 100.0}]",enzacresearch
Hong Kong,HK,1,0,"[{'name': 'GameFi', 'count': 1, 'percent': 100.0}]",bullet-labs
United States,US,1,0,"[{'name': 'Blockchain Service', 'count': 1, 'percent': 100.0}]",bullet-labs
Singapore,SG,1,0,"[{'name': 'Social', 'count': 1, 'percent': 100.0}]",pexx
Germany,DE,1,0,"[{'name': 'DeFi', 'count': 1, 'percent': 100.0}]",edessa-capital
Hong Kong,HK,1,0,"[{'name': 'Blockchain Service', 'count': 1, 'percent': 100.0}]",edessa-capital
UAE,AE,1,0,"[{'name': 'Blockchain Service', 'count': 1, 'percent': 100.0}]",edessa-capital
China,CN,1,0,"[{'name': 'Social', 'count': 1, 'percent': 100.0}]",fusion-fund
United States,US,4,0,"[{'name': 'DeFi', 'count': 3, 'percent': 75.0}, {'name': 'GameFi', 'count': 1, 'percent': 25.0}]",fomocraft-ventures
Indonesia,ID,2,0,"[{'name': 'GameFi', 'count': 2, 'percent': 100.0}]",fomocraft-ventures
Vietnam,VN,2,0,"[{'name': 'GameFi', 'count': 2, 'percent': 100.0}]",fomocraft-ventures
Estonia,EE,1,0,"[{'name': 'DeFi', 'count': 1, 'percent': 100.0}]",fomocraft-ventures
Turkey,TR,1,0,"[{'name': 'GameFi', 'count': 1, 'percent': 100.0}]",fomocraft-ventures
UAE,AE,1,0,"[{'name': 'GameFi', 'count': 1, 'percent': 100.0}]",fomocraft-ventures
Singapore,SG,1,0,"[{'name': 'GameFi', 'count': 1, 'percent': 100.0}]",fomocraft-ventures
Finland,FI,1,0,"[{'name': 'GameFi', 'count': 1, 'percent': 100.0}]",fomocraft-ventures
South Korea,KR,1,0,"[{'name': 'Blockchain Service', 'count': 1, 'percent': 100.0}]",fomocraft-ventures
Singapore,SG,3,0,"[{'name': 'Blockchain Service', 'count': 2, 'percent': 66.67}, {'name': 'Blockchain Infrastructure', 'count': 1, 'percent': 33.33}]",redpoint-china-ventures
United States,US,1,0,"[{'name': 'Blockchain Service', 'count': 1, 'percent': 100.0}]",redpoint-china-ventures
Singapore,SG,2,0,"[{'name': 'DeFi', 'count': 1, 'percent': 50.0}, {'name': 'CeFi', 'count': 1, 'percent': 50.0}]",jstcapital
United States,US,1,0,"[{'name': 'Blockchain Infrastructure', 'count': 1, 'percent': 100.0}]",jstcapital
United States,US,15,3,"[{'name': 'Blockchain Service', 'count': 12, 'percent': 66.67}, {'name': 'GameFi', 'count': 3, 'percent': 16.67}, {'name': 'Blockchain Infrastructure', 'count': 1, 'percent': 5.56}, {'name': 'DeFi', 'count': 1, 'percent': 5.56}, {'name': 'NFT', 'count': 1, 'percent': 5.56}]",bessemer-venture-partners
Germany,DE,1,1,"[{'name': 'Blockchain Service', 'count': 1, 'percent': 50.0}, {'name': 'CeFi', 'count': 1, 'percent': 50.0}]",bessemer-venture-partners
Ireland,IE,2,0,"[{'name': 'Blockchain Service', 'count': 2, 'percent': 100.0}]",bessemer-venture-partners
India,IN,0,1,"[{'name': 'Blockchain Service', 'count': 1, 'percent': 100.0}]",bessemer-venture-partners
Brazil,BR,2,0,"[{'name': 'CeFi', 'count': 2, 'percent': 100.0}]",l4-venture-builder
Brazil,BR,1,0,"[{'name': 'CeFi', 'count': 1, 'percent': 100.0}]",nuclea
United States,US,16,1,"[{'name': 'Blockchain Service', 'count': 5, 'percent': 29.41}, {'name': 'GameFi', 'count': 5, 'percent': 29.41}, {'name': 'DeFi', 'count': 5, 'percent': 29.41}, {'name': 'Blockchain Infrastructure', 'count': 1, 'percent': 5.88}, {'name': 'Chain', 'count': 1, 'percent': 5.88}]",momentum-6
Singapore,SG,11,0,"[{'name': 'GameFi', 'count': 4, 'percent': 36.36}, {'name': 'Blockchain Service', 'count': 2, 'percent': 18.18}, {'name': 'Blockchain Infrastructure', 'count': 2, 'percent': 18.18}, {'name': 'DeFi', 'count': 2, 'percent': 18.18}, {'name': 'NFT', 'count': 1, 'percent': 9.09}]",momentum-6
Vietnam,VN,6,0,"[{'name': 'GameFi', 'count': 5, 'percent': 83.33}, {'name': 'Others', 'count': 1, 'percent': 16.67}]",momentum-6
India,IN,4,0,"[{'name': 'DeFi', 'count': 2, 'percent': 50.0}, {'name': 'Blockchain Infrastructure', 'count': 1, 'percent': 25.0}, {'name': 'NFT', 'count': 1, 'percent': 25.0}]",momentum-6
Hong Kong,HK,2,0,"[{'name': 'DeFi', 'count': 1, 'percent': 50.0}, {'name': 'Chain', 'count': 1, 'percent': 50.0}]",momentum-6
Indonesia,ID,2,0,"[{'name': 'Blockchain Service', 'count': 1, 'percent': 50.0}, {'name': 'GameFi', 'count': 1, 'percent': 50.0}]",momentum-6
United Kingdom,GB,1,1,"[{'name': 'GameFi', 'count': 1, 'percent': 50.0}, {'name': 'Others', 'count': 1, 'percent': 50.0}]",momentum-6
South Korea,KR,2,0,"[{'name': 'Blockchain Service', 'count': 1, 'percent': 50.0}, {'name': 'DeFi', 'count': 1, 'percent': 50.0}]",momentum-6
Seychelles,SC,2,0,"[{'name': 'DeFi', 'count': 2, 'percent': 100.0}]",momentum-6
Norway,NO,1,0,"[{'name': 'Blockchain Service', 'count': 1, 'percent': 100.0}]",momentum-6
Taiwan,TW,1,0,[],momentum-6
Thailand,TH,1,0,[],momentum-6
Turkey,TR,1,0,[],momentum-6
Latvia,LV,1,0,[],momentum-6
Canada,CA,1,0,[],momentum-6
Czech Republic,CZ,1,0,[],momentum-6
Denmark,DK,1,0,[],momentum-6
France,FR,1,0,[],momentum-6
Germany,DE,1,0,[],momentum-6
Japan,JP,1,0,[],momentum-6
Australia,AU,1,0,[],momentum-6
Malaysia,MY,1,0,[],momentum-6
United States,US,14,0,"[{'name': 'Blockchain Service', 'count': 6, 'percent': 42.86}, {'name': 'DeFi', 'count': 4, 'percent': 28.57}, {'name': 'GameFi', 'count': 3, 'percent': 21.43}, {'name': 'Blockchain Infrastructure', 'count': 1, 'percent': 7.14}]",fourthrevolutioncap
India,IN,3,0,"[{'name': 'Blockchain Service', 'count': 1, 'percent': 33.33}, {'name': 'Blockchain Infrastructure', 'count': 1, 'percent': 33.33}, {'name': 'DeFi', 'count': 1, 'percent': 33.33}]",fourthrevolutioncap
United Kingdom,GB,3,0,"[{'name': 'GameFi', 'count': 1, 'percent': 33.33}, {'name': 'DeFi', 'count': 1, 'percent': 33.33}, {'name': 'NFT', 'count': 1, 'percent': 33.33}]",fourthrevolutioncap
Brazil,BR,2,0,"[{'name': 'GameFi', 'count': 1, 'percent': 50.0}, {'name': 'DeFi', 'count': 1, 'percent': 50.0}]",fourthrevolutioncap
Hong Kong,HK,1,0,"[{'name': 'DeFi', 'count': 1, 'percent': 100.0}]",fourthrevolutioncap
New Zealand,NZ,1,0,"[{'name': 'GameFi', 'count': 1, 'percent': 100.0}]",fourthrevolutioncap
Norway,NO,1,0,"[{'name': 'Blockchain Service', 'count': 1, 'percent': 100.0}]",fourthrevolutioncap
Poland,PL,1,0,"[{'name': 'Blockchain Infrastructure', 'count': 1, 'percent': 100.0}]",fourthrevolutioncap
Singapore,SG,1,0,"[{'name': 'DeFi', 'count': 1, 'percent': 100.0}]",fourthrevolutioncap
Cayman Islands,KY,1,0,"[{'name': 'DeFi', 'count': 1, 'percent': 100.0}]",fourthrevolutioncap
Bulgaria,BG,1,0,[],fourthrevolutioncap
China,CN,5,3,"[{'name': 'CeFi', 'count': 3, 'percent': 37.5}, {'name': 'Blockchain Service', 'count': 2, 'percent': 25.0}, {'name': 'Social', 'count': 1, 'percent': 12.5}, {'name': 'DeFi', 'count': 1, 'percent': 12.5}, {'name': 'Chain', 'count': 1, 'percent': 12.5}]",matrix-partners
United States,US,7,1,"[{'name': 'Blockchain Infrastructure', 'count': 3, 'percent': 37.5}, {'name': 'Blockchain Service', 'count': 1, 'percent': 12.5}, {'name': 'GameFi', 'count': 1, 'percent': 12.5}, {'name': 'Social', 'count': 1, 'percent': 12.5}, {'name': 'NFT', 'count': 1, 'percent': 12.5}, {'name': 'CeFi', 'count': 1, 'percent': 12.5}]",matrix-partners
Singapore,SG,1,2,"[{'name': 'Blockchain Service', 'count': 2, 'percent': 66.67}, {'name': 'DeFi', 'count': 1, 'percent': 33.33}]",matrix-partners
Seychelles,SC,2,0,"[{'name': 'CeFi', 'count': 2, 'percent': 100.0}]",matrix-partners
India,IN,0,1,"[{'name': 'Blockchain Service', 'count': 1, 'percent': 100.0}]",matrix-partners
Switzerland,CH,1,0,"[{'name': 'GameFi', 'count': 1, 'percent': 100.0}]",matrix-partners
United Kingdom,GB,1,1,"[{'name': 'DeFi', 'count': 2, 'percent': 100.0}]",sl2-capital
United States,US,2,0,"[{'name': 'GameFi', 'count': 1, 'percent': 50.0}, {'name': 'Social', 'count': 1, 'percent': 50.0}]",sl2-capital
Hong Kong,HK,2,0,"[{'name': 'DeFi', 'count': 1, 'percent': 50.0}, {'name': 'NFT', 'count': 1, 'percent': 50.0}]",sl2-capital
Singapore,SG,1,0,"[{'name': 'GameFi', 'count': 1, 'percent': 100.0}]",sl2-capital
Switzerland,CH,1,0,"[{'name': 'GameFi', 'count': 1, 'percent': 100.0}]",sl2-capital
UAE,AE,1,0,"[{'name': 'GameFi', 'count': 1, 'percent': 100.0}]",sl2-capital
Australia,AU,1,0,"[{'name': 'GameFi', 'count': 1, 'percent': 100.0}]",sl2-capital
Vietnam,VN,1,0,"[{'name': 'GameFi', 'count': 1, 'percent': 100.0}]",sl2-capital
Germany,DE,1,0,"[{'name': 'DeFi', 'count': 1, 'percent': 100.0}]",sl2-capital
India,IN,1,0,"[{'name': 'Blockchain Service', 'count': 1, 'percent': 100.0}]",sl2-capital
United States,US,2,0,"[{'name': 'GameFi', 'count': 1, 'percent': 50.0}, {'name': 'NFT', 'count': 1, 'percent': 50.0}]",emoote
Japan,JP,1,0,"[{'name': 'GameFi', 'count': 1, 'percent': 100.0}]",emoote
Singapore,SG,1,0,"[{'name': 'DeFi', 'count': 1, 'percent': 100.0}]",emoote
UAE,AE,1,0,"[{'name': 'Social', 'count': 1, 'percent': 100.0}]",emoote
Switzerland,CH,1,0,"[{'name': 'CeFi', 'count': 1, 'percent': 100.0}]",sts-digital
France,FR,1,0,"[{'name': 'GameFi', 'count': 1, 'percent': 100.0}]",liquidx
United Kingdom,GB,1,0,"[{'name': 'GameFi', 'count': 1, 'percent': 100.0}]",liquidx
United States,US,1,0,"[{'name': 'GameFi', 'count': 1, 'percent': 100.0}]",liquidx
United States,US,3,0,"[{'name': 'Social', 'count': 2, 'percent': 66.67}, {'name': 'Blockchain Service', 'count': 1, 'percent': 33.33}]",dao-jones
Austria,AT,1,0,"[{'name': 'NFT', 'count': 1, 'percent': 100.0}]",dao-jones
Germany,DE,1,0,"[{'name': 'Blockchain Service', 'count': 1, 'percent': 100.0}]",dao-jones
Kenya,KE,1,0,"[{'name': 'CeFi', 'count': 1, 'percent': 100.0}]",dao-jones
Puerto Rico,PR,1,0,"[{'name': 'Blockchain Infrastructure', 'count': 1, 'percent': 100.0}]",dao-jones
Estonia,EE,1,0,"[{'name': 'Blockchain Service', 'count': 1, 'percent': 100.0}]",propeller
UAE,AE,1,0,"[{'name': 'GameFi', 'count': 1, 'percent': 100.0}]",propeller
United Kingdom,GB,1,0,"[{'name': 'Blockchain Service', 'count': 1, 'percent': 100.0}]",propeller
Germany,DE,2,0,"[{'name': 'Blockchain Service', 'count': 1, 'percent': 50.0}, {'name': 'DeFi', 'count': 1, 'percent': 50.0}]",crypto-banter
San Marino,SM,1,0,"[{'name': 'Blockchain Infrastructure', 'count': 1, 'percent': 100.0}]",crypto-banter
Singapore,SG,1,0,"[{'name': 'DeFi', 'count': 1, 'percent': 100.0}]",crypto-banter
United States,US,1,0,"[{'name': 'Social', 'count': 1, 'percent': 100.0}]",vvv
Germany,DE,1,0,"[{'name': 'Blockchain Infrastructure', 'count': 1, 'percent': 100.0}]",factor
Switzerland,CH,1,0,"[{'name': 'Blockchain Infrastructure', 'count': 1, 'percent': 100.0}]",factor
United Kingdom,GB,1,0,"[{'name': 'Blockchain Infrastructure', 'count': 1, 'percent': 100.0}]",factor
India,IN,1,0,"[{'name': 'DeFi', 'count': 1, 'percent': 100.0}]",fat-cat-ventures
India,IN,7,0,"[{'name': 'DeFi', 'count': 3, 'percent': 42.86}, {'name': 'NFT', 'count': 2, 'percent': 28.57}, {'name': 'CeFi', 'count': 1, 'percent': 14.29}, {'name': 'Chain', 'count': 1, 'percent': 14.29}]",amestencap
United States,US,2,0,"[{'name': 'DeFi', 'count': 2, 'percent': 100.0}]",amestencap
Singapore,SG,1,0,"[{'name': 'Blockchain Service', 'count': 1, 'percent': 100.0}]",amestencap
United States,US,2,0,"[{'name': 'GameFi', 'count': 2, 'percent': 100.0}]",8186capital
Canada,CA,1,0,"[{'name': 'GameFi', 'count': 1, 'percent': 100.0}]",8186capital
India,IN,1,0,"[{'name': 'Chain', 'count': 1, 'percent': 100.0}]",8186capital
Norway,NO,1,0,"[{'name': 'Blockchain Service', 'count': 1, 'percent': 100.0}]",8186capital
Switzerland,CH,1,0,"[{'name': 'Blockchain Service', 'count': 1, 'percent': 100.0}]",8186capital
United Kingdom,GB,1,0,"[{'name': 'GameFi', 'count': 1, 'percent': 100.0}]",8186capital
Australia,AU,1,0,"[{'name': 'DeFi', 'count': 1, 'percent': 100.0}]",8186capital
British Virgin Islands,VG,1,0,"[{'name': 'Blockchain Service', 'count': 1, 'percent': 100.0}]",8186capital
United States,US,4,0,"[{'name': 'Social', 'count': 2, 'percent': 50.0}, {'name': 'Blockchain Service', 'count': 1, 'percent': 25.0}, {'name': 'GameFi', 'count': 1, 'percent': 25.0}]",double-down
United Kingdom,GB,1,0,"[{'name': 'Blockchain Infrastructure', 'count': 1, 'percent': 100.0}]",double-down
France,FR,1,0,"[{'name': 'DeFi', 'count': 1, 'percent': 100.0}]",dci-capital
India,IN,1,0,"[{'name': 'DeFi', 'count': 1, 'percent': 100.0}]",dci-capital
Malta,MT,1,0,"[{'name': 'NFT', 'count': 1, 'percent': 100.0}]",dci-capital
Saint Kitts and Nevis,KN,1,0,"[{'name': 'GameFi', 'count': 1, 'percent': 100.0}]",dci-capital
Singapore,SG,1,0,"[{'name': 'Social', 'count': 1, 'percent': 100.0}]",dci-capital
Curacao,CW,1,0,"[{'name': 'GameFi', 'count': 1, 'percent': 100.0}]",dci-capital
United States,US,2,0,"[{'name': 'Blockchain Service', 'count': 1, 'percent': 50.0}, {'name': 'NFT', 'count': 1, 'percent': 50.0}]",g20-ventures
Colombia,CO,1,0,"[{'name': 'NFT', 'count': 1, 'percent': 100.0}]",g20-ventures
India,IN,1,0,"[{'name': 'DeFi', 'count': 1, 'percent': 100.0}]",g20-ventures
India,IN,1,0,"[{'name': 'DeFi', 'count': 1, 'percent': 100.0}]",astrax-capital
India,IN,1,0,"[{'name': 'DeFi', 'count': 1, 'percent': 100.0}]",gydra-capital
UAE,AE,1,0,"[{'name': 'DeFi', 'count': 1, 'percent': 100.0}]",mentat-innovations
United States,US,1,0,"[{'name': 'NFT', 'count': 1, 'percent': 100.0}]",gm-capital
United States,US,1,0,"[{'name': 'NFT', 'count': 1, 'percent': 100.0}]",hexens
United States,US,3,0,"[{'name': 'DeFi', 'count': 3, 'percent': 100.0}]",hypotenuse-labs
Japan,JP,3,0,"[{'name': 'GameFi', 'count': 3, 'percent': 100.0}]",arriba-studio
Singapore,SG,2,0,"[{'name': 'Blockchain Service', 'count': 1, 'percent': 50.0}, {'name': 'Chain', 'count': 1, 'percent': 50.0}]",arriba-studio
Ukraine,UA,2,0,"[{'name': 'Blockchain Infrastructure', 'count': 1, 'percent': 50.0}, {'name': 'DeFi', 'count': 1, 'percent': 50.0}]",everstake-capital
