range,percentage,min,max,fund_slug
"$0 - $1,000,000",0.0,0,1000000.0,3base
"$1,000,000 - $3,000,000",0.0,1000000,3000000.0,3base
"$3,000,000 - $10,000,000",0.0,3000000,10000000.0,3base
"$10,000,000 - $20,000,000",0.0,10000000,20000000.0,3base
"$20,000,000 - $50,000,000",0.0,20000000,50000000.0,3base
"$50,000,000+",0.0,50000000,,3base
"$0 - $1,000,000",13.33,0,1000000.0,block0
"$1,000,000 - $3,000,000",40.0,1000000,3000000.0,block0
"$3,000,000 - $10,000,000",46.67,3000000,10000000.0,block0
"$10,000,000 - $20,000,000",0.0,10000000,20000000.0,block0
"$20,000,000 - $50,000,000",0.0,20000000,50000000.0,block0
"$50,000,000+",0.0,50000000,,block0
"$0 - $1,000,000",0.0,0,1000000.0,xbto-group
"$1,000,000 - $3,000,000",16.67,1000000,3000000.0,xbto-group
"$3,000,000 - $10,000,000",66.67,3000000,10000000.0,xbto-group
"$10,000,000 - $20,000,000",16.67,10000000,20000000.0,xbto-group
"$20,000,000 - $50,000,000",0.0,20000000,50000000.0,xbto-group
"$50,000,000+",0.0,50000000,,xbto-group
"$0 - $1,000,000",0.0,0,1000000.0,perpetual-value-partners
"$1,000,000 - $3,000,000",25.0,1000000,3000000.0,perpetual-value-partners
"$3,000,000 - $10,000,000",50.0,3000000,10000000.0,perpetual-value-partners
"$10,000,000 - $20,000,000",0.0,10000000,20000000.0,perpetual-value-partners
"$20,000,000 - $50,000,000",25.0,20000000,50000000.0,perpetual-value-partners
"$50,000,000+",0.0,50000000,,perpetual-value-partners
"$0 - $1,000,000",33.33,0,1000000.0,foundership
"$1,000,000 - $3,000,000",33.33,1000000,3000000.0,foundership
"$3,000,000 - $10,000,000",33.33,3000000,10000000.0,foundership
"$10,000,000 - $20,000,000",0.0,10000000,20000000.0,foundership
"$20,000,000 - $50,000,000",0.0,20000000,50000000.0,foundership
"$50,000,000+",0.0,50000000,,foundership
"$0 - $1,000,000",0.0,0,1000000.0,zellic
"$1,000,000 - $3,000,000",100.0,1000000,3000000.0,zellic
"$3,000,000 - $10,000,000",0.0,3000000,10000000.0,zellic
"$10,000,000 - $20,000,000",0.0,10000000,20000000.0,zellic
"$20,000,000 - $50,000,000",0.0,20000000,50000000.0,zellic
"$50,000,000+",0.0,50000000,,zellic
"$0 - $1,000,000",0.0,0,1000000.0,press-start-capital
"$1,000,000 - $3,000,000",50.0,1000000,3000000.0,press-start-capital
"$3,000,000 - $10,000,000",50.0,3000000,10000000.0,press-start-capital
"$10,000,000 - $20,000,000",0.0,10000000,20000000.0,press-start-capital
"$20,000,000 - $50,000,000",0.0,20000000,50000000.0,press-start-capital
"$50,000,000+",0.0,50000000,,press-start-capital
"$0 - $1,000,000",100.0,0,1000000.0,sign-vc
"$1,000,000 - $3,000,000",0.0,1000000,3000000.0,sign-vc
"$3,000,000 - $10,000,000",0.0,3000000,10000000.0,sign-vc
"$10,000,000 - $20,000,000",0.0,10000000,20000000.0,sign-vc
