range,percentage,min,max,fund_slug
"$20,000,000 - $50,000,000",0.0,20000000,50000000.0,sign-vc
"$50,000,000+",0.0,50000000,,sign-vc
"$0 - $1,000,000",0.0,0,1000000.0,untamed-ventures
"$1,000,000 - $3,000,000",0.0,1000000,3000000.0,untamed-ventures
"$3,000,000 - $10,000,000",100.0,3000000,10000000.0,untamed-ventures
"$10,000,000 - $20,000,000",0.0,10000000,20000000.0,untamed-ventures
"$20,000,000 - $50,000,000",0.0,20000000,50000000.0,untamed-ventures
"$50,000,000+",0.0,50000000,,untamed-ventures
"$0 - $1,000,000",0.0,0,1000000.0,compa-capital
"$1,000,000 - $3,000,000",0.0,1000000,3000000.0,compa-capital
"$3,000,000 - $10,000,000",66.67,3000000,10000000.0,compa-capital
"$10,000,000 - $20,000,000",33.33,10000000,20000000.0,compa-capital
"$20,000,000 - $50,000,000",0.0,20000000,50000000.0,compa-capital
"$50,000,000+",0.0,50000000,,compa-capital
"$0 - $1,000,000",0.0,0,1000000.0,humans-ai
"$1,000,000 - $3,000,000",0.0,1000000,3000000.0,humans-ai
"$3,000,000 - $10,000,000",0.0,3000000,10000000.0,humans-ai
"$10,000,000 - $20,000,000",0.0,10000000,20000000.0,humans-ai
"$20,000,000 - $50,000,000",0.0,20000000,50000000.0,humans-ai
"$50,000,000+",0.0,50000000,,humans-ai
"$0 - $1,000,000",0.0,0,1000000.0,atesis-capital
"$1,000,000 - $3,000,000",100.0,1000000,3000000.0,atesis-capital
"$3,000,000 - $10,000,000",0.0,3000000,10000000.0,atesis-capital
"$10,000,000 - $20,000,000",0.0,10000000,20000000.0,atesis-capital
"$20,000,000 - $50,000,000",0.0,20000000,50000000.0,atesis-capital
"$50,000,000+",0.0,50000000,,atesis-capital
"$0 - $1,000,000",11.11,0,1000000.0,nodecapital
"$1,000,000 - $3,000,000",16.67,1000000,3000000.0,nodecapital
"$3,000,000 - $10,000,000",55.56,3000000,10000000.0,nodecapital
"$10,000,000 - $20,000,000",5.56,10000000,20000000.0,nodecapital
"$20,000,000 - $50,000,000",11.11,20000000,50000000.0,nodecapital
"$50,000,000+",0.0,50000000,,nodecapital
"$0 - $1,000,000",33.33,0,1000000.0,enzacresearch
"$1,000,000 - $3,000,000",33.33,1000000,3000000.0,enzacresearch
"$3,000,000 - $10,000,000",33.33,3000000,10000000.0,enzacresearch
"$10,000,000 - $20,000,000",0.0,10000000,20000000.0,enzacresearch
"$20,000,000 - $50,000,000",0.0,20000000,50000000.0,enzacresearch
"$50,000,000+",0.0,50000000,,enzacresearch
"$0 - $1,000,000",0.0,0,1000000.0,bullet-labs
"$1,000,000 - $3,000,000",0.0,1000000,3000000.0,bullet-labs
"$3,000,000 - $10,000,000",100.0,3000000,10000000.0,bullet-labs
"$10,000,000 - $20,000,000",0.0,10000000,20000000.0,bullet-labs
"$20,000,000 - $50,000,000",0.0,20000000,50000000.0,bullet-labs
"$50,000,000+",0.0,50000000,,bullet-labs
"$0 - $1,000,000",0.0,0,1000000.0,babylon
"$1,000,000 - $3,000,000",0.0,1000000,3000000.0,babylon
"$3,000,000 - $10,000,000",50.0,3000000,10000000.0,babylon
"$10,000,000 - $20,000,000",50.0,10000000,20000000.0,babylon
"$20,000,000 - $50,000,000",0.0,20000000,50000000.0,babylon
"$50,000,000+",0.0,50000000,,babylon
"$0 - $1,000,000",0.0,0,1000000.0,pexx
"$1,000,000 - $3,000,000",0.0,1000000,3000000.0,pexx
"$3,000,000 - $10,000,000",0.0,3000000,10000000.0,pexx
"$10,000,000 - $20,000,000",0.0,10000000,20000000.0,pexx
"$20,000,000 - $50,000,000",0.0,20000000,50000000.0,pexx
"$50,000,000+",0.0,50000000,,pexx
"$0 - $1,000,000",0.0,0,1000000.0,zk-ventures
"$1,000,000 - $3,000,000",0.0,1000000,3000000.0,zk-ventures
"$3,000,000 - $10,000,000",100.0,3000000,10000000.0,zk-ventures
"$10,000,000 - $20,000,000",0.0,10000000,20000000.0,zk-ventures
"$20,000,000 - $50,000,000",0.0,20000000,50000000.0,zk-ventures
"$50,000,000+",0.0,50000000,,zk-ventures
"$0 - $1,000,000",0.0,0,1000000.0,eternal-asia-group
"$1,000,000 - $3,000,000",0.0,1000000,3000000.0,eternal-asia-group
"$3,000,000 - $10,000,000",100.0,3000000,10000000.0,eternal-asia-group
"$10,000,000 - $20,000,000",0.0,10000000,20000000.0,eternal-asia-group
"$20,000,000 - $50,000,000",0.0,20000000,50000000.0,eternal-asia-group
"$50,000,000+",0.0,50000000,,eternal-asia-group
"$0 - $1,000,000",0.0,0,1000000.0,sdm-education
"$1,000,000 - $3,000,000",0.0,1000000,3000000.0,sdm-education
"$3,000,000 - $10,000,000",100.0,3000000,10000000.0,sdm-education
"$10,000,000 - $20,000,000",0.0,10000000,20000000.0,sdm-education
"$20,000,000 - $50,000,000",0.0,20000000,50000000.0,sdm-education
"$50,000,000+",0.0,50000000,,sdm-education
"$0 - $1,000,000",0.0,0,1000000.0,sunfund-fortuna-global-opportunities
"$1,000,000 - $3,000,000",0.0,1000000,3000000.0,sunfund-fortuna-global-opportunities
"$3,000,000 - $10,000,000",100.0,3000000,10000000.0,sunfund-fortuna-global-opportunities
"$10,000,000 - $20,000,000",0.0,10000000,20000000.0,sunfund-fortuna-global-opportunities
"$20,000,000 - $50,000,000",0.0,20000000,50000000.0,sunfund-fortuna-global-opportunities
"$50,000,000+",0.0,50000000,,sunfund-fortuna-global-opportunities
"$0 - $1,000,000",0.0,0,1000000.0,TigerBCDAO
"$1,000,000 - $3,000,000",0.0,1000000,3000000.0,TigerBCDAO
"$3,000,000 - $10,000,000",100.0,3000000,10000000.0,TigerBCDAO
"$10,000,000 - $20,000,000",0.0,10000000,20000000.0,TigerBCDAO
"$20,000,000 - $50,000,000",0.0,20000000,50000000.0,TigerBCDAO
"$50,000,000+",0.0,50000000,,TigerBCDAO
"$0 - $1,000,000",10.0,0,1000000.0,edessa-capital
"$1,000,000 - $3,000,000",40.0,1000000,3000000.0,edessa-capital
"$3,000,000 - $10,000,000",40.0,3000000,10000000.0,edessa-capital
"$10,000,000 - $20,000,000",10.0,10000000,20000000.0,edessa-capital
"$20,000,000 - $50,000,000",0.0,20000000,50000000.0,edessa-capital
"$50,000,000+",0.0,50000000,,edessa-capital
"$0 - $1,000,000",0.0,0,1000000.0,beaker-dao
"$1,000,000 - $3,000,000",0.0,1000000,3000000.0,beaker-dao
"$3,000,000 - $10,000,000",100.0,3000000,10000000.0,beaker-dao
"$10,000,000 - $20,000,000",0.0,10000000,20000000.0,beaker-dao
"$20,000,000 - $50,000,000",0.0,20000000,50000000.0,beaker-dao
"$50,000,000+",0.0,50000000,,beaker-dao
"$0 - $1,000,000",0.0,0,1000000.0,fusion-fund
"$1,000,000 - $3,000,000",0.0,1000000,3000000.0,fusion-fund
"$3,000,000 - $10,000,000",100.0,3000000,10000000.0,fusion-fund
"$10,000,000 - $20,000,000",0.0,10000000,20000000.0,fusion-fund
"$20,000,000 - $50,000,000",0.0,20000000,50000000.0,fusion-fund
"$50,000,000+",0.0,50000000,,fusion-fund
"$0 - $1,000,000",12.5,0,1000000.0,fomocraft-ventures
"$1,000,000 - $3,000,000",50.0,1000000,3000000.0,fomocraft-ventures
"$3,000,000 - $10,000,000",31.25,3000000,10000000.0,fomocraft-ventures
"$10,000,000 - $20,000,000",6.25,10000000,20000000.0,fomocraft-ventures
"$20,000,000 - $50,000,000",0.0,20000000,50000000.0,fomocraft-ventures
"$50,000,000+",0.0,50000000,,fomocraft-ventures
"$0 - $1,000,000",0.0,0,1000000.0,redpoint-china-ventures
"$1,000,000 - $3,000,000",16.67,1000000,3000000.0,redpoint-china-ventures
"$3,000,000 - $10,000,000",66.67,3000000,10000000.0,redpoint-china-ventures
"$10,000,000 - $20,000,000",0.0,10000000,20000000.0,redpoint-china-ventures
"$20,000,000 - $50,000,000",16.67,20000000,50000000.0,redpoint-china-ventures
"$50,000,000+",0.0,50000000,,redpoint-china-ventures
"$0 - $1,000,000",0.0,0,1000000.0,jstcapital
"$1,000,000 - $3,000,000",25.0,1000000,3000000.0,jstcapital
"$3,000,000 - $10,000,000",50.0,3000000,10000000.0,jstcapital
"$10,000,000 - $20,000,000",25.0,10000000,20000000.0,jstcapital
"$20,000,000 - $50,000,000",0.0,20000000,50000000.0,jstcapital
"$50,000,000+",0.0,50000000,,jstcapital
"$0 - $1,000,000",0.0,0,1000000.0,elixir-capital
"$1,000,000 - $3,000,000",0.0,1000000,3000000.0,elixir-capital
"$3,000,000 - $10,000,000",75.0,3000000,10000000.0,elixir-capital
"$10,000,000 - $20,000,000",0.0,10000000,20000000.0,elixir-capital
"$20,000,000 - $50,000,000",25.0,20000000,50000000.0,elixir-capital
"$50,000,000+",0.0,50000000,,elixir-capital
"$0 - $1,000,000",0.0,0,1000000.0,bessemer-venture-partners
"$1,000,000 - $3,000,000",10.0,1000000,3000000.0,bessemer-venture-partners
"$3,000,000 - $10,000,000",30.0,3000000,10000000.0,bessemer-venture-partners
"$10,000,000 - $20,000,000",20.0,10000000,20000000.0,bessemer-venture-partners
"$20,000,000 - $50,000,000",20.0,20000000,50000000.0,bessemer-venture-partners
"$50,000,000+",20.0,50000000,,bessemer-venture-partners
"$0 - $1,000,000",16.67,0,1000000.0,rana-capital
"$1,000,000 - $3,000,000",33.33,1000000,3000000.0,rana-capital
"$3,000,000 - $10,000,000",50.0,3000000,10000000.0,rana-capital
"$10,000,000 - $20,000,000",0.0,10000000,20000000.0,rana-capital
"$20,000,000 - $50,000,000",0.0,20000000,50000000.0,rana-capital
"$50,000,000+",0.0,50000000,,rana-capital
"$0 - $1,000,000",0.0,0,1000000.0,l4-venture-builder
"$1,000,000 - $3,000,000",0.0,1000000,3000000.0,l4-venture-builder
"$3,000,000 - $10,000,000",50.0,3000000,10000000.0,l4-venture-builder
"$10,000,000 - $20,000,000",50.0,10000000,20000000.0,l4-venture-builder
"$20,000,000 - $50,000,000",0.0,20000000,50000000.0,l4-venture-builder
"$50,000,000+",0.0,50000000,,l4-venture-builder
"$0 - $1,000,000",0.0,0,1000000.0,iberia-capital
"$1,000,000 - $3,000,000",100.0,1000000,3000000.0,iberia-capital
"$3,000,000 - $10,000,000",0.0,3000000,10000000.0,iberia-capital
"$10,000,000 - $20,000,000",0.0,10000000,20000000.0,iberia-capital
"$20,000,000 - $50,000,000",0.0,20000000,50000000.0,iberia-capital
"$50,000,000+",0.0,50000000,,iberia-capital
"$0 - $1,000,000",0.0,0,1000000.0,nuclea
"$1,000,000 - $3,000,000",0.0,1000000,3000000.0,nuclea
"$3,000,000 - $10,000,000",100.0,3000000,10000000.0,nuclea
"$10,000,000 - $20,000,000",0.0,10000000,20000000.0,nuclea
"$20,000,000 - $50,000,000",0.0,20000000,50000000.0,nuclea
"$50,000,000+",0.0,50000000,,nuclea
"$0 - $1,000,000",0.0,0,1000000.0,momentum-6
"$1,000,000 - $3,000,000",55.0,1000000,3000000.0,momentum-6
"$3,000,000 - $10,000,000",45.0,3000000,10000000.0,momentum-6
"$10,000,000 - $20,000,000",0.0,10000000,20000000.0,momentum-6
"$20,000,000 - $50,000,000",0.0,20000000,50000000.0,momentum-6
"$50,000,000+",0.0,50000000,,momentum-6
"$0 - $1,000,000",0.0,0,1000000.0,fourthrevolutioncap
"$1,000,000 - $3,000,000",5.0,1000000,3000000.0,fourthrevolutioncap
"$3,000,000 - $10,000,000",55.0,3000000,10000000.0,fourthrevolutioncap
"$10,000,000 - $20,000,000",30.0,10000000,20000000.0,fourthrevolutioncap
"$20,000,000 - $50,000,000",10.0,20000000,50000000.0,fourthrevolutioncap
"$50,000,000+",0.0,50000000,,fourthrevolutioncap
"$0 - $1,000,000",0.0,0,1000000.0,matrix-partners
"$1,000,000 - $3,000,000",10.0,1000000,3000000.0,matrix-partners
"$3,000,000 - $10,000,000",55.0,3000000,10000000.0,matrix-partners
"$10,000,000 - $20,000,000",15.0,10000000,20000000.0,matrix-partners
"$20,000,000 - $50,000,000",15.0,20000000,50000000.0,matrix-partners
"$50,000,000+",5.0,50000000,,matrix-partners
"$0 - $1,000,000",12.5,0,1000000.0,sl2-capital
"$1,000,000 - $3,000,000",31.25,1000000,3000000.0,sl2-capital
"$3,000,000 - $10,000,000",50.0,3000000,10000000.0,sl2-capital
"$10,000,000 - $20,000,000",0.0,10000000,20000000.0,sl2-capital
"$20,000,000 - $50,000,000",6.25,20000000,50000000.0,sl2-capital
"$50,000,000+",0.0,50000000,,sl2-capital
"$0 - $1,000,000",0.0,0,1000000.0,emoote
"$1,000,000 - $3,000,000",22.22,1000000,3000000.0,emoote
"$3,000,000 - $10,000,000",44.44,3000000,10000000.0,emoote
"$10,000,000 - $20,000,000",33.33,10000000,20000000.0,emoote
"$20,000,000 - $50,000,000",0.0,20000000,50000000.0,emoote
"$50,000,000+",0.0,50000000,,emoote
"$0 - $1,000,000",100.0,0,1000000.0,sts-digital
"$1,000,000 - $3,000,000",0.0,1000000,3000000.0,sts-digital
"$3,000,000 - $10,000,000",0.0,3000000,10000000.0,sts-digital
"$10,000,000 - $20,000,000",0.0,10000000,20000000.0,sts-digital
"$20,000,000 - $50,000,000",0.0,20000000,50000000.0,sts-digital
"$50,000,000+",0.0,50000000,,sts-digital
"$0 - $1,000,000",0.0,0,1000000.0,liquidx
"$1,000,000 - $3,000,000",40.0,1000000,3000000.0,liquidx
"$3,000,000 - $10,000,000",60.0,3000000,10000000.0,liquidx
"$10,000,000 - $20,000,000",0.0,10000000,20000000.0,liquidx
"$20,000,000 - $50,000,000",0.0,20000000,50000000.0,liquidx
"$50,000,000+",0.0,50000000,,liquidx
"$0 - $1,000,000",0.0,0,1000000.0,dao-jones
"$1,000,000 - $3,000,000",14.29,1000000,3000000.0,dao-jones
"$3,000,000 - $10,000,000",28.57,3000000,10000000.0,dao-jones
"$10,000,000 - $20,000,000",42.86,10000000,20000000.0,dao-jones
"$20,000,000 - $50,000,000",14.29,20000000,50000000.0,dao-jones
"$50,000,000+",0.0,50000000,,dao-jones
"$0 - $1,000,000",25.0,0,1000000.0,propeller
"$1,000,000 - $3,000,000",25.0,1000000,3000000.0,propeller
"$3,000,000 - $10,000,000",25.0,3000000,10000000.0,propeller
"$10,000,000 - $20,000,000",25.0,10000000,20000000.0,propeller
"$20,000,000 - $50,000,000",0.0,20000000,50000000.0,propeller
"$50,000,000+",0.0,50000000,,propeller
"$0 - $1,000,000",0.0,0,1000000.0,arena-holdings
"$1,000,000 - $3,000,000",0.0,1000000,3000000.0,arena-holdings
"$3,000,000 - $10,000,000",0.0,3000000,10000000.0,arena-holdings
"$10,000,000 - $20,000,000",0.0,10000000,20000000.0,arena-holdings
"$20,000,000 - $50,000,000",0.0,20000000,50000000.0,arena-holdings
"$50,000,000+",0.0,50000000,,arena-holdings
"$0 - $1,000,000",0.0,0,1000000.0,dclm
"$1,000,000 - $3,000,000",0.0,1000000,3000000.0,dclm
"$3,000,000 - $10,000,000",0.0,3000000,10000000.0,dclm
"$10,000,000 - $20,000,000",100.0,10000000,20000000.0,dclm
"$20,000,000 - $50,000,000",0.0,20000000,50000000.0,dclm
"$50,000,000+",0.0,50000000,,dclm
"$0 - $1,000,000",100.0,0,1000000.0,precision-edge-capital
"$1,000,000 - $3,000,000",0.0,1000000,3000000.0,precision-edge-capital
"$3,000,000 - $10,000,000",0.0,3000000,10000000.0,precision-edge-capital
"$10,000,000 - $20,000,000",0.0,10000000,20000000.0,precision-edge-capital
"$20,000,000 - $50,000,000",0.0,20000000,50000000.0,precision-edge-capital
"$50,000,000+",0.0,50000000,,precision-edge-capital
"$0 - $1,000,000",16.67,0,1000000.0,crypto-banter
"$1,000,000 - $3,000,000",33.33,1000000,3000000.0,crypto-banter
"$3,000,000 - $10,000,000",50.0,3000000,10000000.0,crypto-banter
"$10,000,000 - $20,000,000",0.0,10000000,20000000.0,crypto-banter
"$20,000,000 - $50,000,000",0.0,20000000,50000000.0,crypto-banter
"$50,000,000+",0.0,50000000,,crypto-banter
"$0 - $1,000,000",16.67,0,1000000.0,vvv
"$1,000,000 - $3,000,000",33.33,1000000,3000000.0,vvv
"$3,000,000 - $10,000,000",33.33,3000000,10000000.0,vvv
"$10,000,000 - $20,000,000",16.67,10000000,20000000.0,vvv
"$20,000,000 - $50,000,000",0.0,20000000,50000000.0,vvv
"$50,000,000+",0.0,50000000,,vvv
"$0 - $1,000,000",0.0,0,1000000.0,factor
"$1,000,000 - $3,000,000",0.0,1000000,3000000.0,factor
"$3,000,000 - $10,000,000",25.0,3000000,10000000.0,factor
"$10,000,000 - $20,000,000",50.0,10000000,20000000.0,factor
"$20,000,000 - $50,000,000",25.0,20000000,50000000.0,factor
"$50,000,000+",0.0,50000000,,factor
"$0 - $1,000,000",0.0,0,1000000.0,fat-cat-ventures
"$1,000,000 - $3,000,000",50.0,1000000,3000000.0,fat-cat-ventures
"$3,000,000 - $10,000,000",50.0,3000000,10000000.0,fat-cat-ventures
"$10,000,000 - $20,000,000",0.0,10000000,20000000.0,fat-cat-ventures
"$20,000,000 - $50,000,000",0.0,20000000,50000000.0,fat-cat-ventures
"$50,000,000+",0.0,50000000,,fat-cat-ventures
"$0 - $1,000,000",0.0,0,1000000.0,scroll
"$1,000,000 - $3,000,000",0.0,1000000,3000000.0,scroll
"$3,000,000 - $10,000,000",100.0,3000000,10000000.0,scroll
"$10,000,000 - $20,000,000",0.0,10000000,20000000.0,scroll
"$20,000,000 - $50,000,000",0.0,20000000,50000000.0,scroll
"$50,000,000+",0.0,50000000,,scroll
"$0 - $1,000,000",20.0,0,1000000.0,amestencap
"$1,000,000 - $3,000,000",60.0,1000000,3000000.0,amestencap
"$3,000,000 - $10,000,000",20.0,3000000,10000000.0,amestencap
"$10,000,000 - $20,000,000",0.0,10000000,20000000.0,amestencap
"$20,000,000 - $50,000,000",0.0,20000000,50000000.0,amestencap
"$50,000,000+",0.0,50000000,,amestencap
"$0 - $1,000,000",0.0,0,1000000.0,8186capital
"$1,000,000 - $3,000,000",50.0,1000000,3000000.0,8186capital
"$3,000,000 - $10,000,000",50.0,3000000,10000000.0,8186capital
"$10,000,000 - $20,000,000",0.0,10000000,20000000.0,8186capital
"$20,000,000 - $50,000,000",0.0,20000000,50000000.0,8186capital
"$50,000,000+",0.0,50000000,,8186capital
"$0 - $1,000,000",0.0,0,1000000.0,double-down
"$1,000,000 - $3,000,000",0.0,1000000,3000000.0,double-down
"$3,000,000 - $10,000,000",40.0,3000000,10000000.0,double-down
"$10,000,000 - $20,000,000",40.0,10000000,20000000.0,double-down
"$20,000,000 - $50,000,000",0.0,20000000,50000000.0,double-down
"$50,000,000+",20.0,50000000,,double-down
"$0 - $1,000,000",0.0,0,1000000.0,vertex-labs
"$1,000,000 - $3,000,000",50.0,1000000,3000000.0,vertex-labs
"$3,000,000 - $10,000,000",50.0,3000000,10000000.0,vertex-labs
"$10,000,000 - $20,000,000",0.0,10000000,20000000.0,vertex-labs
"$20,000,000 - $50,000,000",0.0,20000000,50000000.0,vertex-labs
"$50,000,000+",0.0,50000000,,vertex-labs
"$0 - $1,000,000",11.11,0,1000000.0,dci-capital
"$1,000,000 - $3,000,000",44.44,1000000,3000000.0,dci-capital
"$3,000,000 - $10,000,000",44.44,3000000,10000000.0,dci-capital
"$10,000,000 - $20,000,000",0.0,10000000,20000000.0,dci-capital
"$20,000,000 - $50,000,000",0.0,20000000,50000000.0,dci-capital
"$50,000,000+",0.0,50000000,,dci-capital
"$0 - $1,000,000",0.0,0,1000000.0,g20-ventures
"$1,000,000 - $3,000,000",0.0,1000000,3000000.0,g20-ventures
"$3,000,000 - $10,000,000",100.0,3000000,10000000.0,g20-ventures
"$10,000,000 - $20,000,000",0.0,10000000,20000000.0,g20-ventures
"$20,000,000 - $50,000,000",0.0,20000000,50000000.0,g20-ventures
"$50,000,000+",0.0,50000000,,g20-ventures
"$0 - $1,000,000",0.0,0,1000000.0,astrax-capital
"$1,000,000 - $3,000,000",0.0,1000000,3000000.0,astrax-capital
"$3,000,000 - $10,000,000",100.0,3000000,10000000.0,astrax-capital
"$10,000,000 - $20,000,000",0.0,10000000,20000000.0,astrax-capital
"$20,000,000 - $50,000,000",0.0,20000000,50000000.0,astrax-capital
"$50,000,000+",0.0,50000000,,astrax-capital
"$0 - $1,000,000",0.0,0,1000000.0,gydra-capital
"$1,000,000 - $3,000,000",0.0,1000000,3000000.0,gydra-capital
"$3,000,000 - $10,000,000",100.0,3000000,10000000.0,gydra-capital
"$10,000,000 - $20,000,000",0.0,10000000,20000000.0,gydra-capital
"$20,000,000 - $50,000,000",0.0,20000000,50000000.0,gydra-capital
"$50,000,000+",0.0,50000000,,gydra-capital
"$0 - $1,000,000",0.0,0,1000000.0,acquire
"$1,000,000 - $3,000,000",100.0,1000000,3000000.0,acquire
"$3,000,000 - $10,000,000",0.0,3000000,10000000.0,acquire
"$10,000,000 - $20,000,000",0.0,10000000,20000000.0,acquire
"$20,000,000 - $50,000,000",0.0,20000000,50000000.0,acquire
"$50,000,000+",0.0,50000000,,acquire
"$0 - $1,000,000",0.0,0,1000000.0,mentat-innovations
"$1,000,000 - $3,000,000",0.0,1000000,3000000.0,mentat-innovations
"$3,000,000 - $10,000,000",100.0,3000000,10000000.0,mentat-innovations
"$10,000,000 - $20,000,000",0.0,10000000,20000000.0,mentat-innovations
"$20,000,000 - $50,000,000",0.0,20000000,50000000.0,mentat-innovations
"$50,000,000+",0.0,50000000,,mentat-innovations
"$0 - $1,000,000",0.0,0,1000000.0,radiance-ventures
"$1,000,000 - $3,000,000",100.0,1000000,3000000.0,radiance-ventures
"$3,000,000 - $10,000,000",0.0,3000000,10000000.0,radiance-ventures
"$10,000,000 - $20,000,000",0.0,10000000,20000000.0,radiance-ventures
"$20,000,000 - $50,000,000",0.0,20000000,50000000.0,radiance-ventures
"$50,000,000+",0.0,50000000,,radiance-ventures
"$0 - $1,000,000",0.0,0,1000000.0,gm-capital
"$1,000,000 - $3,000,000",50.0,1000000,3000000.0,gm-capital
"$3,000,000 - $10,000,000",50.0,3000000,10000000.0,gm-capital
"$10,000,000 - $20,000,000",0.0,10000000,20000000.0,gm-capital
"$20,000,000 - $50,000,000",0.0,20000000,50000000.0,gm-capital
"$50,000,000+",0.0,50000000,,gm-capital
"$0 - $1,000,000",0.0,0,1000000.0,third-earth-capital
"$1,000,000 - $3,000,000",0.0,1000000,3000000.0,third-earth-capital
"$3,000,000 - $10,000,000",100.0,3000000,10000000.0,third-earth-capital
"$10,000,000 - $20,000,000",0.0,10000000,20000000.0,third-earth-capital
"$20,000,000 - $50,000,000",0.0,20000000,50000000.0,third-earth-capital
"$50,000,000+",0.0,50000000,,third-earth-capital
"$0 - $1,000,000",0.0,0,1000000.0,hexens
"$1,000,000 - $3,000,000",0.0,1000000,3000000.0,hexens
"$3,000,000 - $10,000,000",100.0,3000000,10000000.0,hexens
"$10,000,000 - $20,000,000",0.0,10000000,20000000.0,hexens
"$20,000,000 - $50,000,000",0.0,20000000,50000000.0,hexens
"$50,000,000+",0.0,50000000,,hexens
"$0 - $1,000,000",0.0,0,1000000.0,hypotenuse-labs
"$1,000,000 - $3,000,000",50.0,1000000,3000000.0,hypotenuse-labs
"$3,000,000 - $10,000,000",50.0,3000000,10000000.0,hypotenuse-labs
"$10,000,000 - $20,000,000",0.0,10000000,20000000.0,hypotenuse-labs
"$20,000,000 - $50,000,000",0.0,20000000,50000000.0,hypotenuse-labs
"$50,000,000+",0.0,50000000,,hypotenuse-labs
"$0 - $1,000,000",0.0,0,1000000.0,arriba-studio
"$1,000,000 - $3,000,000",60.0,1000000,3000000.0,arriba-studio
"$3,000,000 - $10,000,000",20.0,3000000,10000000.0,arriba-studio
"$10,000,000 - $20,000,000",0.0,10000000,20000000.0,arriba-studio
"$20,000,000 - $50,000,000",20.0,20000000,50000000.0,arriba-studio
"$50,000,000+",0.0,50000000,,arriba-studio
"$0 - $1,000,000",100.0,0,1000000.0,purplesky-capital
"$1,000,000 - $3,000,000",0.0,1000000,3000000.0,purplesky-capital
"$3,000,000 - $10,000,000",0.0,3000000,10000000.0,purplesky-capital
"$10,000,000 - $20,000,000",0.0,10000000,20000000.0,purplesky-capital
"$20,000,000 - $50,000,000",0.0,20000000,50000000.0,purplesky-capital
"$50,000,000+",0.0,50000000,,purplesky-capital
"$0 - $1,000,000",0.0,0,1000000.0,aquarius-fund
"$1,000,000 - $3,000,000",0.0,1000000,3000000.0,aquarius-fund
"$3,000,000 - $10,000,000",100.0,3000000,10000000.0,aquarius-fund
"$10,000,000 - $20,000,000",0.0,10000000,20000000.0,aquarius-fund
"$20,000,000 - $50,000,000",0.0,20000000,50000000.0,aquarius-fund
"$50,000,000+",0.0,50000000,,aquarius-fund
