id,slug,name,logo,tier,type,location,stats,investment_types,categories,tags,crowdsales,countries,raise_ranges,fund_slug
617,block0,Block0,https://img.cryptorank.io/funds/150x150.block_01663661555449.png,4.0,Venture,Belgium,"{'co_investments': 3, 'lead_investments': 0}","[{'type': 'SEED', 'count': 2}, {'type': 'PRE SEED', 'count': 1}]","[{'category': 'DeFi', 'count': 1}, {'category': 'CeFi', 'count': 1}, {'category': 'Social', 'count': 1}]","[{'tag': 'Portfolio Management', 'count': 1, 'percent': 16.67}, {'tag': 'Decentralized Application (dApp)', 'count': 1, 'percent': 16.67}, {'tag': 'Lending', 'count': 1, 'percent': 16.67}, {'tag': 'Social Network', 'count': 1, 'percent': 16.67}, {'tag': 'Treasury Management', 'count': 1, 'percent': 16.67}, {'tag': 'Data Service', 'count': 1, 'percent': 16.67}]","[{'type': 'SEED', 'count': 2, 'percent': 66.67}, {'type': 'PRE SEED', 'count': 1, 'percent': 33.33}]","[{'count': 2, 'country': 'United States'}]","[{'count': 2, 'percent': 66.67, 'raiseTo': 10000000, 'raiseFrom': 3000000}, {'count': 1, 'percent': 33.33, 'raiseTo': 3000000, 'raiseFrom': 1000000}]",perpetual-value-partners
706,morgan-creek-digital,Morgan Creek Digital,https://img.cryptorank.io/funds/150x150.morgan_creek_digital1663775754618.png,4.0,Venture,United States,"{'co_investments': 2, 'lead_investments': 0}","[{'type': 'SERIES A', 'count': 1}, {'type': 'SEED', 'count': 1}]","[{'category': 'CeFi', 'count': 1}, {'category': 'GameFi', 'count': 1}]","[{'tag': 'NFT elements', 'count': 1, 'percent': 50}, {'tag': 'Lending', 'count': 1, 'percent': 50}]","[{'type': 'SERIES A', 'count': 1, 'percent': 50}, {'type': 'SEED', 'count': 1, 'percent': 50}]","[{'count': 1, 'country': 'Canada'}]","[{'count': 1, 'percent': 50, 'raiseTo': 50000000, 'raiseFrom': 20000000}, {'count': 1, 'percent': 50, 'raiseTo': 10000000, 'raiseFrom': 3000000}]",perpetual-value-partners
62,galaxy-digital,Galaxy,https://img.cryptorank.io/funds/150x150.galaxy1691061461595.png,1.0,Venture,United States,"{'co_investments': 2, 'lead_investments': 0}","[{'type': 'SEED', 'count': 2}]","[{'category': 'CeFi', 'count': 1}, {'category': 'Social', 'count': 1}]","[{'tag': 'Lending', 'count': 1, 'percent': 100}]","[{'type': 'SEED', 'count': 1, 'percent': 100}]",,"[{'count': 1, 'percent': 100, 'raiseTo': 10000000, 'raiseFrom': 3000000}]",perpetual-value-partners
114,ideoventures,IDEO CoLab Ventures,https://img.cryptorank.io/funds/150x150.ideo colab ventures1653898500582.png,2.0,Venture,United States,"{'co_investments': 1, 'lead_investments': 0}","[{'type': 'SEED', 'count': 1}]","[{'category': 'Social', 'count': 1}]",[],[],[],[],perpetual-value-partners
120,bitkraftventures,Bitkraft Ventures,https://img.cryptorank.io/funds/150x150.bitkraft ventures1653929100699.png,3.0,Venture,United States,"{'co_investments': 1, 'lead_investments': 0}","[{'type': 'SERIES A', 'count': 1}]","[{'category': 'GameFi', 'count': 1}]",[],[],[],[],perpetual-value-partners
124,cmt-digital,CMT Digital,https://img.cryptorank.io/funds/150x150.cmt digital1653987824344.png,2.0,Venture,United States,"{'co_investments': 1, 'lead_investments': 0}","[{'type': 'SERIES A', 'count': 1}]","[{'category': 'GameFi', 'count': 1}]",[],[],[],[],perpetual-value-partners
126,scalar-capital,Scalar Capital,https://img.cryptorank.io/funds/150x150.scalar_capital1654680994681.png,3.0,Venture,United States,"{'co_investments': 1, 'lead_investments': 0}","[{'type': 'SEED', 'count': 1}]","[{'category': 'Social', 'count': 1}]",[],[],[],[],perpetual-value-partners
129,a-capital,a_capital,https://img.cryptorank.io/funds/150x150.a_capital1657786232887.png,3.0,Venture,United States,"{'co_investments': 1, 'lead_investments': 0}","[{'type': 'SEED', 'count': 1}]","[{'category': 'Social', 'count': 1}]",[],[],[],[],perpetual-value-partners
180,sky9-capital,Sky9 Capital,https://img.cryptorank.io/funds/150x150.sky_9_capital1658324766995.png,3.0,Venture,China,"{'co_investments': 1, 'lead_investments': 0}","[{'type': 'SERIES A', 'count': 1}]","[{'category': 'GameFi', 'count': 1}]","[{'tag': 'NFT elements', 'count': 1, 'percent': 100}]","[{'type': 'SERIES A', 'count': 1, 'percent': 100}]","[{'count': 1, 'country': 'Canada'}]","[{'count': 1, 'percent': 100, 'raiseTo': 50000000, 'raiseFrom': 20000000}]",perpetual-value-partners
193,ellipti,Ellipti,https://img.cryptorank.io/funds/150x150.ellipti1658473026694.png,3.0,Venture,South Korea,"{'co_investments': 1, 'lead_investments': 0}","[{'type': 'PRE SEED', 'count': 1}]","[{'category': 'DeFi', 'count': 1}]","[{'tag': 'Portfolio Management', 'count': 1, 'percent': 33.33}, {'tag': 'Decentralized Application (dApp)', 'count': 1, 'percent': 33.33}, {'tag': 'Data Service', 'count': 1, 'percent': 33.33}]","[{'type': 'PRE SEED', 'count': 1, 'percent': 100}]","[{'count': 1, 'country': 'United States'}]","[{'count': 1, 'percent': 100, 'raiseTo': 10000000, 'raiseFrom': 3000000}]",perpetual-value-partners
