range,percentage,min,max,fund_slug
"$3,000,000 - $10,000,000",65.0,3000000,10000000.0,balaji-srinivasan
"$10,000,000 - $20,000,000",15.0,10000000,20000000.0,balaji-srinivasan
"$20,000,000 - $50,000,000",0.0,20000000,50000000.0,balaji-srinivasan
"$50,000,000+",0.0,50000000,,balaji-srinivasan
"$0 - $1,000,000",0.0,0,1000000.0,paradigm
"$1,000,000 - $3,000,000",0.0,1000000,3000000.0,paradigm
"$3,000,000 - $10,000,000",15.0,3000000,10000000.0,paradigm
"$10,000,000 - $20,000,000",25.0,10000000,20000000.0,paradigm
"$20,000,000 - $50,000,000",30.0,20000000,50000000.0,paradigm
"$50,000,000+",30.0,50000000,,paradigm
"$0 - $1,000,000",0.0,0,1000000.0,sequoia-capital
"$1,000,000 - $3,000,000",10.0,1000000,3000000.0,sequoia-capital
"$3,000,000 - $10,000,000",30.0,3000000,10000000.0,sequoia-capital
"$10,000,000 - $20,000,000",25.0,10000000,20000000.0,sequoia-capital
"$20,000,000 - $50,000,000",20.0,20000000,50000000.0,sequoia-capital
"$50,000,000+",15.0,50000000,,sequoia-capital
"$0 - $1,000,000",15.0,0,1000000.0,binance-labs
"$1,000,000 - $3,000,000",10.0,1000000,3000000.0,binance-labs
"$3,000,000 - $10,000,000",50.0,3000000,10000000.0,binance-labs
"$10,000,000 - $20,000,000",15.0,10000000,20000000.0,binance-labs
"$20,000,000 - $50,000,000",10.0,20000000,50000000.0,binance-labs
"$50,000,000+",0.0,50000000,,binance-labs
"$0 - $1,000,000",0.0,0,1000000.0,santiago-santos
"$1,000,000 - $3,000,000",40.0,1000000,3000000.0,santiago-santos
"$3,000,000 - $10,000,000",45.0,3000000,10000000.0,santiago-santos
"$10,000,000 - $20,000,000",10.0,10000000,20000000.0,santiago-santos
"$20,000,000 - $50,000,000",5.0,20000000,50000000.0,santiago-santos
"$50,000,000+",0.0,50000000,,santiago-santos
"$0 - $1,000,000",9.09,0,1000000.0,bryan-pellegrino
