project_key,project_name,project_logo,totalRaise,taskTypes,backer_name,backer_logo
huddle-01-activity764,Huddle01,https://img.cryptorank.io/coins/150x150.huddle_011680857179191.png,2800000,"Social, Testnet, Bounty Platforms",Balaji Srinivasan,https://img.cryptorank.io/funds/60x60.balaji_srinivasan1666791966754.png
huddle-01-activity764,Huddle01,https://img.cryptorank.io/coins/150x150.huddle_011680857179191.png,2800000,"Social, Testnet, Bounty Platforms",Stani Kulechov,https://img.cryptorank.io/funds/60x60.stani_kulechov1678784089440.png
huddle-01-activity764,Huddle01,https://img.cryptorank.io/coins/150x150.huddle_011680857179191.png,2800000,"Social, Testnet, Bounty Platforms",LongHash Ventures,https://img.cryptorank.io/funds/60x60.longhash ventures1649418223202.png
huddle-01-activity764,Huddle01,https://img.cryptorank.io/coins/150x150.huddle_011680857179191.png,2800000,"Social, Testnet, Bounty Platforms",Protocol Labs,https://img.cryptorank.io/funds/60x60.protocol_labs1662643032114.png
wunder-social-activity763,Wunder.Social,https://img.cryptorank.io/coins/150x150.wunder_social1744215339452.png,50000000,"Fill The Form, Bounty Platforms, Social",Rollman Management,https://img.cryptorank.io/funds/60x60.rollman_management1732190514974.png
pluralis-research-activity765,Pluralis Research,https://img.cryptorank.io/coins/150x150.pluralis_research1742396710935.png,7600000,Fill The Form,Balaji Srinivasan,https://img.cryptorank.io/funds/60x60.balaji_srinivasan1666791966754.png
pluralis-research-activity765,Pluralis Research,https://img.cryptorank.io/coins/150x150.pluralis_research1742396710935.png,7600000,Fill The Form,CoinFund,https://img.cryptorank.io/funds/60x60.coinfund1648750399605.png
pluralis-research-activity765,Pluralis Research,https://img.cryptorank.io/coins/150x150.pluralis_research1742396710935.png,7600000,Fill The Form,Union Square Ventures (USV),https://img.cryptorank.io/funds/60x60.union square ventures1653917088736.png
pluralis-research-activity765,Pluralis Research,https://img.cryptorank.io/coins/150x150.pluralis_research1742396710935.png,7600000,Fill The Form,Variant,https://img.cryptorank.io/funds/60x60.variant1653903740447.png
