coinKey,coinName,raise,coinImage,funds
walrus-protocol,Walrus,140.0,https://img.cryptorank.io/coins/60x60.walrus1727864479768.png,"[{'slug': 'standard-crypto', 'logo': 'https://img.cryptorank.io/funds/60x60.standard_crypto1658135937193.png'}, {'slug': 'andreessen-horowitz', 'logo': 'https://img.cryptorank.io/funds/60x60.andreessen horowitz (a16z)1648484432797.png'}, {'slug': 'electric-capital', 'logo': 'https://img.cryptorank.io/funds/60x60.electric capital1648564160766.png'}]"
chronicle-labs,Chronicle,12.0,https://img.cryptorank.io/coins/60x60.chronicle1742910290000.png,"[{'slug': 'strobe-ventures', 'logo': 'https://img.cryptorank.io/funds/60x60.strobe_prev_blocktower_capital1742911103973.png'}, {'slug': 'galaxy-digital', 'logo': 'https://img.cryptorank.io/funds/60x60.galaxy1691061461595.png'}, {'slug': 'stani-kulechov', 'logo': 'https://img.cryptorank.io/funds/60x60.stani_kulechov1678784089440.png'}]"
moonpay,MoonPay,200.0,https://img.cryptorank.io/coins/60x60.moon_pay1668496356608.png,"[{'slug': 'galaxy-digital', 'logo': 'https://img.cryptorank.io/funds/60x60.galaxy1691061461595.png'}]"
