coinKey,coinName,follower_id,follower_name,follower_username,follower_image,follower_twitterScore,follower_followersCount,relatedEntity_fund,relatedEntity_coin
blockdaemon,Blockdaemon,831,raj 🖤,rajgokal,https://pbs.twimg.com/profile_images/1890118156099764224/PTNoKGBz_normal.jpg,16139.0,319548,raj-gokal,
dust-labs,Dust Labs,506,toly 🇺🇸,aeyakovenko,https://pbs.twimg.com/profile_images/1906899997880430592/E3nf0cY-_normal.jpg,22622.0,575790,anatoly-yakovenko,
dust-labs,Dust Labs,644,Udi Wizardheimer,udiWertheimer,https://pbs.twimg.com/profile_images/1899559293159952384/xpng4kz2_normal.jpg,17289.0,218739,udi-wertheimer,
dust-labs,Dust Labs,831,raj 🖤,rajgokal,https://pbs.twimg.com/profile_images/1890118156099764224/PTNoKGBz_normal.jpg,16139.0,319548,raj-gokal,
dust-labs,Dust Labs,2018,DeeZe ⛳🏌️‍♂️,DeeZe,https://pbs.twimg.com/profile_images/1902173684149747712/zpm6QNQ6_normal.jpg,16598.0,274714,,
dust-labs,Dust Labs,2089,intern ⨀,intern,https://pbs.twimg.com/profile_images/1742947102953512976/DO-YOUbV_normal.jpg,16487.0,122970,,
swim-protocol,Swim Protocol,526,Andrew Kang,Rewkang,https://pbs.twimg.com/profile_images/1786874758421983232/L06COzZ-_normal.jpg,22873.0,379942,andrew-kang,
swim-protocol,Swim Protocol,534,Polygon,0xPolygon,https://pbs.twimg.com/profile_images/1881552782148206592/uL2NdckM_normal.jpg,15774.0,2064888,polygon-labs,
swim-protocol,Swim Protocol,595,Ansem 🐂🀄️,blknoiz06,https://pbs.twimg.com/profile_images/1909437863592132608/R14kQm8j_normal.jpg,22604.0,724539,ansem,
swim-protocol,Swim Protocol,644,Udi Wizardheimer,udiWertheimer,https://pbs.twimg.com/profile_images/1899559293159952384/xpng4kz2_normal.jpg,17289.0,218739,udi-wertheimer,
swim-protocol,Swim Protocol,847,SBF,SBF_FTX,https://pbs.twimg.com/profile_images/1493575109424160772/AKRRTAI-_normal.jpg,18506.0,983534,sbf-ftx,
fuel-labs,Fuel Network,505,Stani.eth,StaniKulechov,https://pbs.twimg.com/profile_images/1880993699661852672/RzdhDkv2_normal.jpg,19548.0,265529,stani-kulechov,
fuel-labs,Fuel Network,506,toly 🇺🇸,aeyakovenko,https://pbs.twimg.com/profile_images/1906899997880430592/E3nf0cY-_normal.jpg,22622.0,575790,anatoly-yakovenko,
fuel-labs,Fuel Network,595,Ansem 🐂🀄️,blknoiz06,https://pbs.twimg.com/profile_images/1909437863592132608/R14kQm8j_normal.jpg,22604.0,724539,ansem,
fuel-labs,Fuel Network,759,Andre Cronje,AndreCronjeTech,https://pbs.twimg.com/profile_images/1895238831282028544/Cf5mbQcT_normal.jpg,20452.0,439153,andre-cronje,
fuel-labs,Fuel Network,1979,"찌 G 跻 じ MBA, CFA, FRM, CFP, NGMI, HFSP, HENTAI 🛡️",DegenSpartan,https://pbs.twimg.com/profile_images/1608325033033895938/US2YmCwR_normal.jpg,20269.0,264245,,
luabase,Luabase,680,Ivan on Tech 🍳Cooking @ Moralis,IvanOnTech,https://pbs.twimg.com/profile_images/1654548524472696834/GR4VOP4Y_normal.png,7752.0,489864,ivan-on-tech,
luabase,Luabase,743,Minion,0xminion,https://pbs.twimg.com/profile_images/1745175242543382528/YQwa4A1l_normal.jpg,8051.0,27557,,
luabase,Luabase,1135,Antonio García Martínez (agm.eth),antoniogm,https://pbs.twimg.com/profile_images/1789393888278683648/0vAi6k80_normal.jpg,5744.0,197934,,
luabase,Luabase,3568,hildobby,hildobby_,https://pbs.twimg.com/profile_images/1508459764170248196/YMxW8YjQ_normal.jpg,8582.0,29838,,
luabase,Luabase,21257,domo,domodata,https://pbs.twimg.com/profile_images/1540363498848403461/TIUPOCQx_normal.jpg,5000.0,89556,domo,
gammax,GammaX,547,cryptomaestro.hl,CryptoMaestro,https://pbs.twimg.com/profile_images/1755505059184689152/6f9NZMXm_normal.jpg,7968.0,48462,cryptomaestro,
gammax,GammaX,743,Minion,0xminion,https://pbs.twimg.com/profile_images/1745175242543382528/YQwa4A1l_normal.jpg,8051.0,27557,,
gammax,GammaX,821,WIZZ🥷 ( beware scammers ),CryptoWizardd,https://pbs.twimg.com/profile_images/1692319430611517440/WwOa201h_normal.jpg,6839.0,788140,wizz,
gammax,GammaX,24344,blocmates.,blocmatesdotcom,https://pbs.twimg.com/profile_images/1841422073203208192/VHovXDGD_normal.jpg,8774.0,81739,,
gammax,GammaX,66043,Ignas | DeFi,DefiIgnas,https://pbs.twimg.com/profile_images/1572199012790603778/GF4NXSKr_normal.jpg,11982.0,141332,,
gameplay-galaxy,Gameplay Galaxy,597,palmer // not for everyone,bitcoinPalmer,https://pbs.twimg.com/profile_images/1874289219683643392/Z8PmyFpA_normal.jpg,10678.0,37179,bitcoinpalmer,
gameplay-galaxy,Gameplay Galaxy,765,Andrew Steinwold,AndrewSteinwold,https://pbs.twimg.com/profile_images/1853456819223478272/q_42cb7g_normal.jpg,9201.0,71785,andrew-steinwold,
gameplay-galaxy,Gameplay Galaxy,940,Bharat Krymo,krybharat,https://pbs.twimg.com/profile_images/1836051066091106305/PKQNE88w_normal.jpg,10080.0,124363,bharat-krymo,
gameplay-galaxy,Gameplay Galaxy,2124,🐧 Pentoshi,Pentosh1,https://pbs.twimg.com/profile_images/1889187132151078912/Ea5ToaOZ_normal.jpg,18483.0,862536,pentoshi,
gameplay-galaxy,Gameplay Galaxy,3094,John Wang,j0hnwang,https://pbs.twimg.com/profile_images/1855724505005727744/2EfWlUVl_normal.jpg,10166.0,31293,,
omni-wallet,Omni Wallet,37,mikedemarais.eth (on fartcaster),mikedemarais,https://pbs.twimg.com/profile_images/1882122375795224576/fgkp8Wqv_normal.jpg,11215.0,56692,,
omni-wallet,Omni Wallet,1291,banteg,bantg,https://pbs.twimg.com/profile_images/1406018339835678720/fLQOnMbp_normal.jpg,16826.0,200188,banteg,
omni-wallet,Omni Wallet,1323,Gabriel Haines,gabrielhaines,https://pbs.twimg.com/profile_images/1885078828575248385/LNsBeGQc_normal.jpg,10621.0,59602,,
omni-wallet,Omni Wallet,3373,0xMaki,0xMaki,https://pbs.twimg.com/profile_images/1737148253970534400/Up8-uZBz_normal.jpg,16441.0,79213,,
omni-wallet,Omni Wallet,3443,Sandra 🌊,sandraaleow,https://pbs.twimg.com/profile_images/1824723991074050048/PxfBXLk__normal.jpg,11416.0,43799,sandra-leow,
hubble-protocol,Hubble Protocol,504,Chris Burniske,cburniske,https://pbs.twimg.com/profile_images/1494841994572562433/I-j4N9Z7_normal.jpg,19583.0,325238,,
hubble-protocol,Hubble Protocol,506,toly 🇺🇸,aeyakovenko,https://pbs.twimg.com/profile_images/1906899997880430592/E3nf0cY-_normal.jpg,22622.0,575790,anatoly-yakovenko,
hubble-protocol,Hubble Protocol,526,Andrew Kang,Rewkang,https://pbs.twimg.com/profile_images/1786874758421983232/L06COzZ-_normal.jpg,22873.0,379942,andrew-kang,
hubble-protocol,Hubble Protocol,830,Solana,solana,https://pbs.twimg.com/profile_images/1472933274209107976/6u-LQfjG_normal.jpg,19658.0,3399796,,solana
hubble-protocol,Hubble Protocol,1289,Arthur,Arthur_0x,https://pbs.twimg.com/profile_images/1889910817254182912/3LbsrI1x_normal.jpg,19235.0,197670,arthur-cheong,
sui,Sui,138,fwiz.eth,Fwiz,https://pbs.twimg.com/profile_images/1893805128010047488/_41ZOD7e_normal.jpg,11720.0,412518,ryan-wyatt,
sui,Sui,595,Ansem 🐂🀄️,blknoiz06,https://pbs.twimg.com/profile_images/1909437863592132608/R14kQm8j_normal.jpg,22604.0,724539,ansem,
sui,Sui,599,DEGEN NEWS,DegenerateNews,https://pbs.twimg.com/profile_images/1551586710873550848/8_M8f6ds_normal.jpg,12335.0,384992,,
sui,Sui,882,notsofast,notsofast,https://pbs.twimg.com/profile_images/1893998683089215488/jyu0ulIF_normal.png,12305.0,200799,,
sui,Sui,9962,McKenna,Crypto_McKenna,https://pbs.twimg.com/profile_images/1911056796963237888/L-kUQOtr_normal.jpg,12201.0,99375,,
spice-ai,Spice AI,743,Minion,0xminion,https://pbs.twimg.com/profile_images/1745175242543382528/YQwa4A1l_normal.jpg,8051.0,27557,,
spice-ai,Spice AI,1404,mariaa.eth 🐸,MariaShen,https://pbs.twimg.com/profile_images/1824583198959079424/LVYae4KX_normal.jpg,8250.0,26416,,
spice-ai,Spice AI,3257,Teng Yan · 30 days of COT,0xPrismatic,https://pbs.twimg.com/profile_images/1822948258752442368/rqjcPBNB_normal.jpg,9073.0,36338,teng-yan,
spice-ai,Spice AI,4079,◢ J◎e McCann 🧊,joemccann,https://pbs.twimg.com/profile_images/1921422477286330368/U5F3G4Ko_normal.jpg,9429.0,96147,,
spice-ai,Spice AI,7182,Sreeram Kannan,sreeramkannan,https://pbs.twimg.com/profile_images/1866862776637161472/mVf8f6FK_normal.jpg,11216.0,40701,sreeram-kannan,
magpie-protocol,Fly (prev. Magpie Protocol),599,DEGEN NEWS,DegenerateNews,https://pbs.twimg.com/profile_images/1551586710873550848/8_M8f6ds_normal.jpg,12335.0,384992,,
