coinKey,coinName,raise,coinImage,fund_name,fund_key,fund_image,fund_tier,fund_type,fund_category,fund_category_slug,fund_totalInvestments
sei-network,Sei,5000000.0,https://img.cryptorank.io/coins/60x60.sei_network1661962346631.png,Flow Traders,flow-traders,https://img.cryptorank.io/funds/60x60.flow_traders1661961464980.png,3.0,NORMAL,Corporation,corporate,38
sei-network,Sei,5000000.0,https://img.cryptorank.io/coins/60x60.sei_network1661962346631.png,Hudson River Trading,hudson-river,https://img.cryptorank.io/funds/60x60.hudson_river_trading1661962110616.png,3.0,NORMAL,Corporation,corporate,8
gogopool,GoGoPool,5000000.0,https://img.cryptorank.io/coins/60x60.go_go_pool1661964227961.png,Framework Ventures,framework-ventures,https://img.cryptorank.io/funds/60x60.framework ventures1648565125587.png,2.0,LEAD,Venture,venture,144
gogopool,GoGoPool,5000000.0,https://img.cryptorank.io/coins/60x60.go_go_pool1661964227961.png,CoinFund,coin-fund,https://img.cryptorank.io/funds/60x60.coinfund1648750399605.png,2.0,LEAD,Venture,venture,122
gogopool,GoGoPool,5000000.0,https://img.cryptorank.io/coins/60x60.go_go_pool1661964227961.png,GBV Capital,gbv-capital,https://img.cryptorank.io/funds/60x60.gbv capital1648587318933.png,2.0,NORMAL,Venture,venture,152
gogopool,GoGoPool,5000000.0,https://img.cryptorank.io/coins/60x60.go_go_pool1661964227961.png,Republic,republic,https://img.cryptorank.io/funds/60x60.republic1649867485999.png,2.0,NORMAL,Venture,venture,76
gogopool,GoGoPool,5000000.0,https://img.cryptorank.io/coins/60x60.go_go_pool1661964227961.png,Flow Traders,flow-traders,https://img.cryptorank.io/funds/60x60.flow_traders1661961464980.png,3.0,NORMAL,Corporation,corporate,38
gogopool,GoGoPool,5000000.0,https://img.cryptorank.io/coins/60x60.go_go_pool1661964227961.png,Taureon Capital,taureon-capital,https://img.cryptorank.io/funds/60x60.taureon_capital1661965074753.png,3.0,NORMAL,Venture,venture,27
gogopool,GoGoPool,5000000.0,https://img.cryptorank.io/coins/60x60.go_go_pool1661964227961.png,FinTech Collective,fintech-collective,https://img.cryptorank.io/funds/60x60.fin_tech_collective1661964509781.png,3.0,NORMAL,Venture,venture,26
gogopool,GoGoPool,5000000.0,https://img.cryptorank.io/coins/60x60.go_go_pool1661964227961.png,Avalaunch,avalaunch,https://img.cryptorank.io/funds/60x60.avalaunch1662044755124.png,3.0,NORMAL,Corporation,corporate,18
gogopool,GoGoPool,5000000.0,https://img.cryptorank.io/coins/60x60.go_go_pool1661964227961.png,Builder Capital,builder-capital,https://img.cryptorank.io/funds/60x60.builder_capital1661964792722.png,4.0,NORMAL,Venture,venture,32
proof,PROOF,50000000.0,https://img.cryptorank.io/coins/60x60.proof1661967654411.png,Andreessen Horowitz (a16z),andreessen-horowitz,https://img.cryptorank.io/funds/60x60.andreessen horowitz (a16z)1648484432797.png,1.0,LEAD,Venture,venture,236
proof,PROOF,50000000.0,https://img.cryptorank.io/coins/60x60.proof1661967654411.png,Seven Seven Six,seven-seven-six,https://img.cryptorank.io/funds/60x60.seven_seven_six1661966582767.png,2.0,NORMAL,Venture,venture,26
proof,PROOF,50000000.0,https://img.cryptorank.io/coins/60x60.proof1661967654411.png,Collab+Currency,collab-currency,https://img.cryptorank.io/funds/60x60.collab_currency1680104428423.png,3.0,NORMAL,Venture,venture,86
proof,PROOF,50000000.0,https://img.cryptorank.io/coins/60x60.proof1661967654411.png,SV Angel,sv-angel,https://img.cryptorank.io/funds/60x60.sv_angel1658825671796.png,3.0,NORMAL,Venture,venture,56
proof,PROOF,50000000.0,https://img.cryptorank.io/coins/60x60.proof1661967654411.png,True Ventures,true-ventures,https://img.cryptorank.io/funds/60x60.true_ventures1658919875719.png,3.0,NORMAL,Venture,venture,30
proof,PROOF,50000000.0,https://img.cryptorank.io/coins/60x60.proof1661967654411.png,FlamingoDAO,flamingo-dao,https://img.cryptorank.io/funds/60x60.flamingo_dao1661966941979.png,3.0,NORMAL,DAO,dao,27
proof,PROOF,50000000.0,https://img.cryptorank.io/coins/60x60.proof1661967654411.png,VaynerFund,vayner-fund,https://img.cryptorank.io/funds/60x60.vayner_fund1661967433330.png,3.0,NORMAL,Venture,venture,20
koop-protocol,Koop Protocol,5000000.0,https://img.cryptorank.io/coins/60x60.koop_protocol1661968847188.png,Variant,variant,https://img.cryptorank.io/funds/60x60.variant1653903740447.png,2.0,LEAD,Venture,venture,69
koop-protocol,Koop Protocol,5000000.0,https://img.cryptorank.io/coins/60x60.koop_protocol1661968847188.png,1confirmation,1-confirmation,https://img.cryptorank.io/funds/60x60.1confirmation1648545497207.png,2.0,LEAD,Venture,venture,37
koop-protocol,Koop Protocol,5000000.0,https://img.cryptorank.io/coins/60x60.koop_protocol1661968847188.png,Alliance DAO,alliance-dao,https://img.cryptorank.io/funds/60x60.alliance_dao1742829923924.png,2.0,NORMAL,Incubator,incubation,61
koop-protocol,Koop Protocol,5000000.0,https://img.cryptorank.io/coins/60x60.koop_protocol1661968847188.png,Ethereal Ventures,ethereal-ventures,https://img.cryptorank.io/funds/60x60.ethereal_ventures1700054453619.png,3.0,NORMAL,Venture,venture,50
koop-protocol,Koop Protocol,5000000.0,https://img.cryptorank.io/coins/60x60.koop_protocol1661968847188.png,Volt Capital,volt-capital,https://img.cryptorank.io/funds/60x60.volt_capital1661968589302.png,3.0,NORMAL,Venture,venture,45
stacked,Stacked,12900000.0,https://img.cryptorank.io/coins/60x60.stacked1662020293701.png,Pantera Capital,pantera-capital,https://img.cryptorank.io/funds/60x60.pantera capital1648480190185.png,1.0,LEAD,Venture,venture,209
stacked,Stacked,12900000.0,https://img.cryptorank.io/coins/60x60.stacked1662020293701.png,GFR Fund,gfr-fund,https://img.cryptorank.io/funds/60x60.gfr_fund1662019088533.png,3.0,NORMAL,Venture,venture,8
stacked,Stacked,12900000.0,https://img.cryptorank.io/coins/60x60.stacked1662020293701.png,Z Venture Capital,z-venture-capital,https://img.cryptorank.io/funds/60x60.z_venture_capital1662019373885.png,3.0,NORMAL,Venture,venture,4
arbitrum,Arbitrum,3700000.0,https://img.cryptorank.io/coins/60x60.arbitrum1696871846920.png,Pantera Capital,pantera-capital,https://img.cryptorank.io/funds/60x60.pantera capital1648480190185.png,1.0,LEAD,Venture,venture,209
arbitrum,Arbitrum,3700000.0,https://img.cryptorank.io/coins/60x60.arbitrum1696871846920.png,Compound VC,compound-vc,https://img.cryptorank.io/funds/60x60.compound_vc1742485436808.png,3.0,NORMAL,Venture,venture,18
arbitrum,Arbitrum,120000000.0,https://img.cryptorank.io/coins/60x60.arbitrum1696871846920.png,Lightspeed Venture Partners,lightspeed-venture-partners,https://img.cryptorank.io/funds/60x60.lightspeed_venture_partners1657880471226.png,2.0,LEAD,Venture,venture,83
arbitrum,Arbitrum,120000000.0,https://img.cryptorank.io/coins/60x60.arbitrum1696871846920.png,Polychain Capital,polychain-capital,https://img.cryptorank.io/funds/60x60.polychain_capital1680073683609.png,1.0,NORMAL,Venture,venture,242
arbitrum,Arbitrum,120000000.0,https://img.cryptorank.io/coins/60x60.arbitrum1696871846920.png,Pantera Capital,pantera-capital,https://img.cryptorank.io/funds/60x60.pantera capital1648480190185.png,1.0,NORMAL,Venture,venture,209
arbitrum,Arbitrum,120000000.0,https://img.cryptorank.io/coins/60x60.arbitrum1696871846920.png,Ribbit Capital,ribbit-capital,https://img.cryptorank.io/funds/60x60.ribbit_capital1658134061665.png,2.0,NORMAL,Venture,venture,64
arbitrum,Arbitrum,120000000.0,https://img.cryptorank.io/coins/60x60.arbitrum1696871846920.png,Redpoint,redpoint,https://img.cryptorank.io/funds/60x60.redpoint1662024234844.png,2.0,NORMAL,Venture,venture,16
arbitrum,Arbitrum,120000000.0,https://img.cryptorank.io/coins/60x60.arbitrum1696871846920.png,Alameda Research,alameda-research,https://img.cryptorank.io/funds/60x60.alameda research1649323483008.png,,NORMAL,Venture,venture,196
xterio,Xterio,40000000.0,https://img.cryptorank.io/coins/60x60.xterio1662106936402.png,Makers Fund,makers-fund,https://img.cryptorank.io/funds/60x60.makers_fund1657892642960.png,3.0,LEAD,Venture,venture,22
xterio,Xterio,40000000.0,https://img.cryptorank.io/coins/60x60.xterio1662106936402.png,FTX Ventures,ftx-ventures,https://img.cryptorank.io/funds/60x60.ftx ventures1649435357799.png,,LEAD,Exchange,exchange,72
xterio,Xterio,40000000.0,https://img.cryptorank.io/coins/60x60.xterio1662106936402.png,HashKey Capital,hash-key-capital,https://img.cryptorank.io/funds/60x60.hashkey capital1648749705706.png,1.0,NORMAL,Venture,venture,224
xterio,Xterio,40000000.0,https://img.cryptorank.io/coins/60x60.xterio1662106936402.png,Animoca Brands,animoca-brands,https://img.cryptorank.io/funds/60x60.animoca brands1652984475172.png,2.0,NORMAL,Venture,venture,408
xterio,Xterio,40000000.0,https://img.cryptorank.io/coins/60x60.xterio1662106936402.png,IVC,infinity-ventures-crypto,https://img.cryptorank.io/funds/60x60.infinity ventures crypto1649334658853.png,2.0,NORMAL,Venture,venture,101
xterio,Xterio,40000000.0,https://img.cryptorank.io/coins/60x60.xterio1662106936402.png,Foresight Ventures,foresight-ventures,https://img.cryptorank.io/funds/60x60.foresight_ventures1700472525214.png,3.0,NORMAL,Venture,venture,101
xterio,Xterio,40000000.0,https://img.cryptorank.io/coins/60x60.xterio1662106936402.png,Matrix Partners,matrix-partners,https://img.cryptorank.io/funds/60x60.matrix_partners1662124914420.png,4.0,NORMAL,Venture,venture,26
xterio,Xterio,40000000.0,https://img.cryptorank.io/coins/60x60.xterio1662106936402.png,FunPlus,funplus,https://img.cryptorank.io/funds/60x60.fun_plus1662108095198.png,4.0,NORMAL,Corporation,corporate,5
limit-break,Limit Break,200000000.0,https://img.cryptorank.io/coins/60x60.limit_break1662135559113.png,Paradigm,paradigm,https://img.cryptorank.io/funds/60x60.paradigm capital1648561644615.png,1.0,LEAD,Venture,venture,115
limit-break,Limit Break,200000000.0,https://img.cryptorank.io/coins/60x60.limit_break1662135559113.png,Standard Crypto,standard-crypto,https://img.cryptorank.io/funds/60x60.standard_crypto1658135937193.png,2.0,LEAD,Venture,venture,27
limit-break,Limit Break,200000000.0,https://img.cryptorank.io/coins/60x60.limit_break1662135559113.png,Coinbase Ventures,coinbase-ventures,https://img.cryptorank.io/funds/60x60.coinbase ventures1648494875227.png,1.0,NORMAL,Venture,venture,407
