fund_slug,country,count
shima-capital,Israel,2
shima-capital,Singapore,2
shima-capital,Canada,1
shima-capital,Japan,1
shima-capital,Puerto Rico,1
draper-dragon,United States,12
draper-dragon,Cayman Islands,2
draper-dragon,India,2
draper-dragon,Canada,1
draper-dragon,China,1
draper-dragon,Singapore,1
samsungnext,United States,15
samsungnext,Israel,3
samsungnext,Canada,2
alchemy,United States,17
alchemy,Germany,1
alchemy,Israel,1
alchemy,Romania,1
avalanche-foundation,United States,5
avalanche-foundation,France,2
avalanche-foundation,Bahamas,1
avalanche-foundation,Spain,1
cms-holdings,United States,10
cms-holdings,Singapore,2
cms-holdings,Canada,1
cms-holdings,Cayman Islands,1
cms-holdings,Germany,1
cms-holdings,Hong Kong,1
gv,United States,13
gv,United Kingdom,3
gv,Canada,2
gv,South Africa,1
gv,Spain,1
egirlcapital,United States,6
egirlcapital,Australia,1
egirlcapital,Finland,1
egirlcapital,India,1
egirlcapital,Netherlands,1
solana-ventures,United States,13
solana-ventures,British Virgin Islands,1
solana-ventures,Canada,1
solana-ventures,Hong Kong,1
solana-ventures,Serbia,1
solana-ventures,Switzerland,1
fabric-ventures,France,5
fabric-ventures,United Kingdom,5
fabric-ventures,United States,4
fabric-ventures,Israel,3
fabric-ventures,Colombia,1
fabric-ventures,Estonia,1
mechanism-capital,United States,10
mechanism-capital,Singapore,3
mechanism-capital,British Virgin Islands,1
mechanism-capital,Canada,1
mechanism-capital,France,1
mechanism-capital,Kenya,1
dwf-labs,Singapore,4
dwf-labs,United States,3
dwf-labs,China,2
dwf-labs,Sweden,2
dwf-labs,UAE,2
dwf-labs,Canada,1
bitscale-capital,United States,8
bitscale-capital,UAE,2
bitscale-capital,Argentina,1
bitscale-capital,British Virgin Islands,1
bitscale-capital,Cayman Islands,1
bitscale-capital,France,1
hashed-fund,United States,11
hashed-fund,South Korea,2
hashed-fund,Vietnam,2
hashed-fund,Cayman Islands,1
hashed-fund,France,1
hashed-fund,Iceland,1
thelao,United States,11
thelao,Germany,2
thelao,Singapore,2
thelao,Estonia,1
thelao,Norway,1
thelao,Puerto Rico,1
bain-capital-crypto,United States,17
bain-capital-crypto,Liechtenstein,2
bain-capital-crypto,Portugal,1
softbank,United States,13
softbank,United Kingdom,3
softbank,Ecuador,1
softbank,India,1
softbank,Singapore,1
softbank,South Korea,1
the-sandbox,United States,6
the-sandbox,France,2
the-sandbox,Hong Kong,1
the-sandbox,United Kingdom,1
swissborg-ventures,United Kingdom,3
swissborg-ventures,Austria,1
swissborg-ventures,Estonia,1
swissborg-ventures,United States,1
yield-guild-games,United States,10
yield-guild-games,Japan,3
yield-guild-games,Australia,1
yield-guild-games,British Virgin Islands,1
yield-guild-games,Philippines,1
yield-guild-games,Portugal,1
1-confirmation,United States,13
1-confirmation,United Kingdom,3
1-confirmation,Australia,1
1-confirmation,France,1
1-confirmation,Singapore,1
1-confirmation,Switzerland,1
tribecapital,United States,17
tribecapital,Georgia,1
tribecapital,India,1
tribecapital,Singapore,1
redpoint,United States,10
redpoint,China,1
redpoint,Norway,1
redpoint,Singapore,1
double-peak,United States,7
double-peak,United Kingdom,3
double-peak,Singapore,2
double-peak,Australia,1
double-peak,Cayman Islands,1
double-peak,Hong Kong,1
mapleblock-capital,Estonia,3
mapleblock-capital,Singapore,3
mapleblock-capital,United States,3
mapleblock-capital,Belgium,1
mapleblock-capital,British Virgin Islands,1
mapleblock-capital,Canada,1
safepal,Antigua and Barbuda,1
impossible-finance,United States,5
impossible-finance,Vietnam,4
impossible-finance,Singapore,2
impossible-finance,France,1
impossible-finance,New Zealand,1
impossible-finance,Romania,1
fbg-capital,United States,8
fbg-capital,Singapore,7
fbg-capital,Canada,1
fbg-capital,Japan,1
fbg-capital,Serbia,1
fbg-capital,Taiwan,1
tiger-global-management,United States,9
tiger-global-management,India,3
tiger-global-management,United Kingdom,2
tiger-global-management,Canada,1
tiger-global-management,Colombia,1
tiger-global-management,France,1
animoca-brands-kk,Japan,4
animoca-brands-kk,United States,1
cardano-foundation,United States,2
cardano-foundation,Belgium,1
cardano-foundation,Spain,1
visa,United States,4
visa,Argentina,2
gbv-capital,United States,6
gbv-capital,Hong Kong,3
gbv-capital,Singapore,3
gbv-capital,Vietnam,2
gbv-capital,Bulgaria,1
gbv-capital,Canada,1
tronfoundation,United States,3
tronfoundation,Singapore,1
tronfoundation,Taiwan,1
tronfoundation,UAE,1
sinoglobalcapital,United States,8
sinoglobalcapital,Singapore,3
sinoglobalcapital,United Kingdom,3
sinoglobalcapital,India,2
sinoglobalcapital,Canada,1
sinoglobalcapital,Hong Kong,1
merit-circle,United States,12
merit-circle,Singapore,3
merit-circle,Australia,1
merit-circle,Liechtenstein,1
merit-circle,Portugal,1
merit-circle,Sweden,1
jump-capital,United States,9
jump-capital,Singapore,4
jump-capital,British Virgin Islands,1
jump-capital,Canada,1
jump-capital,Hong Kong,1
jump-capital,Philippines,1
genblock-capital,United States,10
genblock-capital,Canada,2
genblock-capital,Serbia,2
genblock-capital,Cayman Islands,1
genblock-capital,Hong Kong,1
genblock-capital,Norway,1
sequoia-capital-india,Singapore,8
sequoia-capital-india,United States,6
sequoia-capital-india,India,3
sequoia-capital-india,Hong Kong,2
sequoia-capital-india,Indonesia,1
ava-labs,United States,5
ava-labs,United Kingdom,2
ava-labs,Bulgaria,1
ava-labs,Canada,1
ava-labs,Nigeria,1
genesis,United States,11
genesis,Switzerland,2
genesis,Canada,1
genesis,France,1
genesis,Italy,1
genesis,Singapore,1
eden-block,United Kingdom,7
eden-block,United States,5
eden-block,Switzerland,3
eden-block,Singapore,2
eden-block,Belgium,1
eden-block,Germany,1
ideoventures,United States,12
ideoventures,India,2
ideoventures,Estonia,1
ideoventures,France,1
ideoventures,Germany,1
ideoventures,South Africa,1
the-a16z-cultural-leadership-fund,United States,1
polygon-studios,United States,11
polygon-studios,India,4
polygon-studios,Australia,1
polygon-studios,France,1
polygon-studios,Portugal,1
polygon-studios,Singapore,1
jumptrading,United States,4
jumptrading,Singapore,3
jumptrading,United Kingdom,2
jumptrading,India,1
jumptrading,UAE,1
jp-morgan,United States,12
jp-morgan,Singapore,2
jp-morgan,Luxembourg,1
jp-morgan,United Kingdom,1
temasek,United States,5
temasek,Singapore,3
temasek,United Kingdom,3
temasek,Hong Kong,2
temasek,Australia,1
temasek,China,1
alibaba-group,Singapore,2
alibaba-group,United States,2
alibaba-group,China,1
qcp-capital,United States,9
qcp-capital,Singapore,4
qcp-capital,Germany,2
qcp-capital,Gibraltar,1
qcp-capital,Indonesia,1
qcp-capital,Panama,1
dhvc,United States,14
dhvc,China,2
dhvc,Singapore,2
dhvc,Cayman Islands,1
dhvc,Switzerland,1
lg-technology-ventures,United States,5
lg-technology-ventures,South Korea,1
robinhood,United Kingdom,1
de-fiance-capital,Singapore,7
de-fiance-capital,United States,4
de-fiance-capital,United Kingdom,3
de-fiance-capital,South Korea,2
de-fiance-capital,Canada,1
de-fiance-capital,China,1
ascensiveassets,United States,6
ascensiveassets,Australia,2
ascensiveassets,Hong Kong,2
ascensiveassets,Brazil,1
ascensiveassets,British Virgin Islands,1
ascensiveassets,Bulgaria,1
galxe,United States,4
galxe,Germany,1
galxe,India,1
galxe,Singapore,1
1inch,United States,6
1inch,Estonia,1
1inch,Germany,1
pet-rock-capital,Singapore,5
pet-rock-capital,United States,3
pet-rock-capital,Switzerland,2
pet-rock-capital,Taiwan,2
pet-rock-capital,Australia,1
pet-rock-capital,Belgium,1
goldman-sachs,United States,14
goldman-sachs,United Kingdom,4
goldman-sachs,Luxembourg,2
greenoaks-capital,United States,4
susquehanna-international-group,United States,6
susquehanna-international-group,Singapore,4
susquehanna-international-group,France,2
susquehanna-international-group,United Kingdom,2
susquehanna-international-group,Cayman Islands,1
susquehanna-international-group,China,1
icetea-labs,United States,4
icetea-labs,Singapore,3
icetea-labs,Vietnam,3
icetea-labs,South Korea,2
icetea-labs,Canada,1
icetea-labs,Netherlands,1
goldentree-asset-management,United States,13
goldentree-asset-management,Australia,1
goldentree-asset-management,Canada,1
goldentree-asset-management,Estonia,1
goldentree-asset-management,Germany,1
goldentree-asset-management,India,1
epic-games,United Kingdom,1
seven-seven-six,United States,15
seven-seven-six,Canada,1
seven-seven-six,India,1
seven-seven-six,Israel,1
seven-seven-six,Sweden,1
seven-seven-six,Vietnam,1
dapper-labs,United States,11
dapper-labs,Canada,3
dapper-labs,Germany,3
dapper-labs,Hong Kong,1
dapper-labs,Israel,1
dapper-labs,Japan,1
greylock-partners,United States,14
greylock-partners,Germany,1
greylock-partners,Gibraltar,1
greylock-partners,United Kingdom,1
s-p-global,United States,4
ericsson-ventures,United Kingdom,1
horizons-ventures,United States,2
horizons-ventures,Canada,1
horizons-ventures,Georgia,1
horizons-ventures,Germany,1
horizons-ventures,United Kingdom,1
overstock,United States,5
samsung,United States,3
samsung,France,1
kabbage,Switzerland,1
nuri,United Kingdom,1
ubisoft-entertainment-sa,France,2
ubisoft-entertainment-sa,Israel,2
ubisoft-entertainment-sa,Canada,1
ubisoft-entertainment-sa,Hong Kong,1
ubisoft-entertainment-sa,Singapore,1
take-two-interactive-software,Canada,1
marshall-wace,United States,6
marshall-wace,Switzerland,1
mckinsey,Canada,1
bitstamp,Gibraltar,1
bitstamp,United States,1
nba,United States,1
osaka-gas,Japan,1
lightspeed-china-partners,Singapore,1
lightspeed-china-partners,United Kingdom,1
lightspeed-china-partners,United States,1
fifth-era,United States,2
fifth-era,Switzerland,1
infinity-labs,Hong Kong,2
infinity-labs,China,1
infinity-labs,Germany,1
infinity-labs,Singapore,1
infinity-labs,United States,1
castrum-capital,Israel,2
castrum-capital,United Kingdom,2
castrum-capital,Estonia,1
castrum-capital,United States,1
foresight-ventures,United States,14
foresight-ventures,Cayman Islands,1
foresight-ventures,Hong Kong,1
foresight-ventures,Italy,1
foresight-ventures,North Korea,1
foresight-ventures,Singapore,1
aptos,United States,7
aptos,India,3
aptos,Canada,1
aptos,Hong Kong,1
aptos,Singapore,1
jupiter,Germany,1
jupiter,Singapore,1
brevan-howard-digital,United States,13
brevan-howard-digital,Singapore,2
brevan-howard-digital,Canada,1
brevan-howard-digital,France,1
brevan-howard-digital,Israel,1
brevan-howard-digital,South Africa,1
tech-stars,United States,13
tech-stars,Singapore,2
tech-stars,Chile,1
tech-stars,France,1
tech-stars,Germany,1
tech-stars,Sweden,1
dewhales,Italy,1
dewhales,Singapore,1
dewhales,Sweden,1
dewhales,United Kingdom,1
dewhales,United States,1
maelstrom,United States,3
maelstrom,United Kingdom,2
maelstrom,Australia,1
maelstrom,Cayman Islands,1
maelstrom,India,1
maelstrom,Singapore,1
lemniscap,United States,12
lemniscap,France,1
lemniscap,Germany,1
lemniscap,Norway,1
lemniscap,Poland,1
lemniscap,Seychelles,1
daedalus,United States,5
daedalus,Singapore,3
daedalus,United Kingdom,3
daedalus,France,2
daedalus,Argentina,1
daedalus,Belgium,1
near-foundation,United States,9
near-foundation,United Kingdom,3
near-foundation,Switzerland,2
near-foundation,China,1
near-foundation,Hong Kong,1
near-foundation,India,1
trgc,Germany,4
trgc,United States,4
trgc,India,2
trgc,Israel,2
trgc,Singapore,2
trgc,Belgium,1
symbolic-capital,United States,6
symbolic-capital,UAE,1
symbolic-capital,United Kingdom,1
reciprocal-ventures,United States,14
reciprocal-ventures,British Virgin Islands,2
reciprocal-ventures,Canada,2
reciprocal-ventures,Serbia,1
reciprocal-ventures,South Africa,1
escape-velocity,United States,5
escape-velocity,Cayman Islands,1
escape-velocity,Germany,1
circle-ventures,United States,2
circle-ventures,Colombia,1
circle-ventures,India,1
circle-ventures,Singapore,1
circle-ventures,Switzerland,1
gate-io,United States,6
gate-io,United Kingdom,4
gate-io,Singapore,2
gate-io,Australia,1
gate-io,British Virgin Islands,1
gate-io,Cayman Islands,1
bitkraftventures,United States,11
bitkraftventures,Brazil,1
bitkraftventures,Canada,1
bitkraftventures,Cayman Islands,1
bitkraftventures,France,1
bitkraftventures,Iceland,1
strobe-ventures,United States,9
strobe-ventures,Germany,3
strobe-ventures,Canada,2
strobe-ventures,France,2
strobe-ventures,Argentina,1
strobe-ventures,Australia,1
gnosis,Switzerland,4
gnosis,United States,3
gnosis,Argentina,1
gnosis,British Virgin Islands,1
gnosis,Germany,1
gnosis,India,1
balderton-capital,Germany,4
balderton-capital,United Kingdom,3
balderton-capital,Netherlands,2
hardyaka,United States,13
hardyaka,Switzerland,2
hardyaka,Austria,1
hardyaka,France,1
hardyaka,Hong Kong,1
hardyaka,Japan,1
canonical-crypto,United States,12
canonical-crypto,Canada,1
canonical-crypto,United Kingdom,1
bitgo,France,1
bitgo,Switzerland,1
bitgo,United States,1
norwest,United States,5
norwest,Singapore,1
waterdrip-capital,United States,3
waterdrip-capital,Canada,2
waterdrip-capital,Hong Kong,2
waterdrip-capital,Singapore,2
waterdrip-capital,Australia,1
waterdrip-capital,China,1
aura-group,Australia,2
aura-group,Singapore,1
ngc-ventures,United States,12
ngc-ventures,Singapore,3
ngc-ventures,Canada,1
ngc-ventures,Germany,1
ngc-ventures,Hong Kong,1
ngc-ventures,Switzerland,1
lattice,United States,13
lattice,Germany,2
lattice,Cayman Islands,1
lattice,Croatia,1
lattice,Israel,1
lattice,Netherlands,1
franklin-templeton-investments,United States,16
franklin-templeton-investments,Canada,2
franklin-templeton-investments,Hong Kong,1
franklin-templeton-investments,Netherlands,1
flow-traders,United States,12
flow-traders,United Kingdom,4
flow-traders,Canada,1
flow-traders,Gibraltar,1
flow-traders,Singapore,1
flow-traders,Switzerland,1
compound-vc,United States,13
compound-vc,Canada,1
compound-vc,India,1
blueyard-capital,United States,8
blueyard-capital,France,5
blueyard-capital,Germany,3
blueyard-capital,Finland,1
blueyard-capital,Israel,1
blueyard-capital,Singapore,1
wing-venture,United States,4
wing-venture,Israel,2
blizzard-fund,United States,14
blizzard-fund,Tanzania,2
blizzard-fund,Germany,1
blizzard-fund,Hong Kong,1
blizzard-fund,Luxembourg,1
blizzard-fund,South Korea,1
sv-angel,United States,17
sv-angel,France,2
sv-angel,United Kingdom,1
volt-capital,United States,13
volt-capital,Canada,2
volt-capital,British Virgin Islands,1
volt-capital,Colombia,1
volt-capital,France,1
volt-capital,India,1
primitive-ventures,Singapore,6
primitive-ventures,United States,4
primitive-ventures,Hong Kong,1
primitive-ventures,Israel,1
primitive-ventures,Russia,1
primitive-ventures,South Korea,1
faction,United States,5
faction,Greece,1
faction,Israel,1
faction,Singapore,1
faction,United Kingdom,1
first-round-capital,United States,14
massmutual-ventures,United States,5
massmutual-ventures,Singapore,2
bmw-i-ventures,United States,1
bosch-ventures,United States,1
au-21-capital,Singapore,4
au-21-capital,India,2
au-21-capital,United States,2
au-21-capital,Vietnam,2
au-21-capital,Denmark,1
au-21-capital,Georgia,1
ibc-ventures,Hong Kong,1
ibc-ventures,Thailand,1
ibc-ventures,United Kingdom,1
ibc-ventures,United States,1
collab-currency,United States,15
collab-currency,Canada,1
collab-currency,Estonia,1
collab-currency,Israel,1
collab-currency,Singapore,1
collab-currency,Switzerland,1
outlier-ventures,United Kingdom,4
outlier-ventures,United States,4
outlier-ventures,Singapore,3
outlier-ventures,France,2
outlier-ventures,Canada,1
outlier-ventures,India,1
k300-ventures,Vietnam,4
k300-ventures,Singapore,1
k300-ventures,Sweden,1
k300-ventures,UAE,1
k300-ventures,United Kingdom,1
venture-souq,United States,2
hg-ventures,United States,4
hg-ventures,South Korea,3
hg-ventures,Estonia,1
hg-ventures,Ireland,1
hg-ventures,Pakistan,1
hg-ventures,Singapore,1
digital-asset-capital-management,United States,6
digital-asset-capital-management,Singapore,3
digital-asset-capital-management,Australia,2
digital-asset-capital-management,New Zealand,2
digital-asset-capital-management,India,1
digital-asset-capital-management,Switzerland,1
blackdragon,Croatia,1
blackdragon,Italy,1
blackdragon,United Kingdom,1
big-brain-holdings,United States,9
big-brain-holdings,United Kingdom,3
big-brain-holdings,Israel,2
big-brain-holdings,Singapore,2
big-brain-holdings,Georgia,1
big-brain-holdings,Germany,1
blockchain-founders-fund,United States,8
blockchain-founders-fund,United Kingdom,3
blockchain-founders-fund,India,2
blockchain-founders-fund,Switzerland,2
blockchain-founders-fund,Tanzania,2
blockchain-founders-fund,Germany,1
crypto-com-capital,United States,6
crypto-com-capital,Singapore,3
crypto-com-capital,Israel,2
crypto-com-capital,Switzerland,2
crypto-com-capital,France,1
crypto-com-capital,Hong Kong,1
anagram-crypto,United States,9
anagram-crypto,Switzerland,2
anagram-crypto,Canada,1
anagram-crypto,Hong Kong,1
anagram-crypto,Spain,1
