range,percentage,min,max,fund_slug
"$0 - $1,000,000",0.0,0,1000000.0,k5ventures
"$1,000,000 - $3,000,000",66.67,1000000,3000000.0,k5ventures
"$3,000,000 - $10,000,000",0.0,3000000,10000000.0,k5ventures
"$10,000,000 - $20,000,000",0.0,10000000,20000000.0,k5ventures
"$20,000,000 - $50,000,000",0.0,20000000,50000000.0,k5ventures
"$50,000,000+",33.33,50000000,,k5ventures
"$0 - $1,000,000",0.0,0,1000000.0,atrum
"$1,000,000 - $3,000,000",0.0,1000000,3000000.0,atrum
"$3,000,000 - $10,000,000",0.0,3000000,10000000.0,atrum
"$10,000,000 - $20,000,000",0.0,10000000,20000000.0,atrum
"$20,000,000 - $50,000,000",0.0,20000000,50000000.0,atrum
"$50,000,000+",100.0,50000000,,atrum
"$0 - $1,000,000",0.0,0,1000000.0,psyfi
"$1,000,000 - $3,000,000",0.0,1000000,3000000.0,psyfi
"$3,000,000 - $10,000,000",0.0,3000000,10000000.0,psyfi
"$10,000,000 - $20,000,000",0.0,10000000,20000000.0,psyfi
"$20,000,000 - $50,000,000",0.0,20000000,50000000.0,psyfi
"$50,000,000+",0.0,50000000,,psyfi
"$0 - $1,000,000",33.33,0,1000000.0,abra
"$1,000,000 - $3,000,000",0.0,1000000,3000000.0,abra
"$3,000,000 - $10,000,000",33.33,3000000,10000000.0,abra
"$10,000,000 - $20,000,000",33.33,10000000,20000000.0,abra
"$20,000,000 - $50,000,000",0.0,20000000,50000000.0,abra
"$50,000,000+",0.0,50000000,,abra
"$0 - $1,000,000",0.0,0,1000000.0,1982-ventures
"$1,000,000 - $3,000,000",0.0,1000000,3000000.0,1982-ventures
"$3,000,000 - $10,000,000",0.0,3000000,10000000.0,1982-ventures
"$10,000,000 - $20,000,000",0.0,10000000,20000000.0,1982-ventures
"$20,000,000 - $50,000,000",0.0,20000000,50000000.0,1982-ventures
"$50,000,000+",0.0,50000000,,1982-ventures
"$0 - $1,000,000",0.0,0,1000000.0,caphorn
"$1,000,000 - $3,000,000",0.0,1000000,3000000.0,caphorn
"$3,000,000 - $10,000,000",0.0,3000000,10000000.0,caphorn
"$10,000,000 - $20,000,000",0.0,10000000,20000000.0,caphorn
"$20,000,000 - $50,000,000",0.0,20000000,50000000.0,caphorn
"$50,000,000+",100.0,50000000,,caphorn
"$0 - $1,000,000",0.0,0,1000000.0,cite-gestion
"$1,000,000 - $3,000,000",0.0,1000000,3000000.0,cite-gestion
"$3,000,000 - $10,000,000",0.0,3000000,10000000.0,cite-gestion
"$10,000,000 - $20,000,000",0.0,10000000,20000000.0,cite-gestion
"$20,000,000 - $50,000,000",0.0,20000000,50000000.0,cite-gestion
"$50,000,000+",100.0,50000000,,cite-gestion
"$0 - $1,000,000",0.0,0,1000000.0,gtm-ventures
"$1,000,000 - $3,000,000",0.0,1000000,3000000.0,gtm-ventures
"$3,000,000 - $10,000,000",100.0,3000000,10000000.0,gtm-ventures
"$10,000,000 - $20,000,000",0.0,10000000,20000000.0,gtm-ventures
"$20,000,000 - $50,000,000",0.0,20000000,50000000.0,gtm-ventures
"$50,000,000+",0.0,50000000,,gtm-ventures
"$0 - $1,000,000",0.0,0,1000000.0,notifi
"$1,000,000 - $3,000,000",100.0,1000000,3000000.0,notifi
"$3,000,000 - $10,000,000",0.0,3000000,10000000.0,notifi
"$10,000,000 - $20,000,000",0.0,10000000,20000000.0,notifi
"$20,000,000 - $50,000,000",0.0,20000000,50000000.0,notifi
"$50,000,000+",0.0,50000000,,notifi
"$0 - $1,000,000",0.0,0,1000000.0,praetura-ventuers
"$1,000,000 - $3,000,000",0.0,1000000,3000000.0,praetura-ventuers
"$3,000,000 - $10,000,000",100.0,3000000,10000000.0,praetura-ventuers
"$10,000,000 - $20,000,000",0.0,10000000,20000000.0,praetura-ventuers
"$20,000,000 - $50,000,000",0.0,20000000,50000000.0,praetura-ventuers
"$50,000,000+",0.0,50000000,,praetura-ventuers
"$0 - $1,000,000",0.0,0,1000000.0,reech-corporations-group
"$1,000,000 - $3,000,000",0.0,1000000,3000000.0,reech-corporations-group
"$3,000,000 - $10,000,000",100.0,3000000,10000000.0,reech-corporations-group
"$10,000,000 - $20,000,000",0.0,10000000,20000000.0,reech-corporations-group
"$20,000,000 - $50,000,000",0.0,20000000,50000000.0,reech-corporations-group
"$50,000,000+",0.0,50000000,,reech-corporations-group
"$0 - $1,000,000",0.0,0,1000000.0,avatar-dao
"$1,000,000 - $3,000,000",0.0,1000000,3000000.0,avatar-dao
"$3,000,000 - $10,000,000",100.0,3000000,10000000.0,avatar-dao
"$10,000,000 - $20,000,000",0.0,10000000,20000000.0,avatar-dao
"$20,000,000 - $50,000,000",0.0,20000000,50000000.0,avatar-dao
"$50,000,000+",0.0,50000000,,avatar-dao
"$0 - $1,000,000",0.0,0,1000000.0,global-millenial
"$1,000,000 - $3,000,000",50.0,1000000,3000000.0,global-millenial
"$3,000,000 - $10,000,000",50.0,3000000,10000000.0,global-millenial
"$10,000,000 - $20,000,000",0.0,10000000,20000000.0,global-millenial
"$20,000,000 - $50,000,000",0.0,20000000,50000000.0,global-millenial
"$50,000,000+",0.0,50000000,,global-millenial
"$0 - $1,000,000",0.0,0,1000000.0,hodlco
"$1,000,000 - $3,000,000",100.0,1000000,3000000.0,hodlco
"$3,000,000 - $10,000,000",0.0,3000000,10000000.0,hodlco
"$10,000,000 - $20,000,000",0.0,10000000,20000000.0,hodlco
"$20,000,000 - $50,000,000",0.0,20000000,50000000.0,hodlco
"$50,000,000+",0.0,50000000,,hodlco
"$0 - $1,000,000",0.0,0,1000000.0,metrea-discovery
"$1,000,000 - $3,000,000",0.0,1000000,3000000.0,metrea-discovery
"$3,000,000 - $10,000,000",100.0,3000000,10000000.0,metrea-discovery
"$10,000,000 - $20,000,000",0.0,10000000,20000000.0,metrea-discovery
"$20,000,000 - $50,000,000",0.0,20000000,50000000.0,metrea-discovery
"$50,000,000+",0.0,50000000,,metrea-discovery
"$0 - $1,000,000",0.0,0,1000000.0,tirta-ventures
"$1,000,000 - $3,000,000",0.0,1000000,3000000.0,tirta-ventures
"$3,000,000 - $10,000,000",100.0,3000000,10000000.0,tirta-ventures
"$10,000,000 - $20,000,000",0.0,10000000,20000000.0,tirta-ventures
"$20,000,000 - $50,000,000",0.0,20000000,50000000.0,tirta-ventures
"$50,000,000+",0.0,50000000,,tirta-ventures
"$0 - $1,000,000",0.0,0,1000000.0,vu-venture-partners
"$1,000,000 - $3,000,000",0.0,1000000,3000000.0,vu-venture-partners
"$3,000,000 - $10,000,000",100.0,3000000,10000000.0,vu-venture-partners
"$10,000,000 - $20,000,000",0.0,10000000,20000000.0,vu-venture-partners
"$20,000,000 - $50,000,000",0.0,20000000,50000000.0,vu-venture-partners
"$50,000,000+",0.0,50000000,,vu-venture-partners
"$0 - $1,000,000",0.0,0,1000000.0,velvet-sea
"$1,000,000 - $3,000,000",0.0,1000000,3000000.0,velvet-sea
"$3,000,000 - $10,000,000",14.29,3000000,10000000.0,velvet-sea
"$10,000,000 - $20,000,000",42.86,10000000,20000000.0,velvet-sea
"$20,000,000 - $50,000,000",14.29,20000000,50000000.0,velvet-sea
"$50,000,000+",28.57,50000000,,velvet-sea
"$0 - $1,000,000",0.0,0,1000000.0,ion-group
"$1,000,000 - $3,000,000",0.0,1000000,3000000.0,ion-group
"$3,000,000 - $10,000,000",0.0,3000000,10000000.0,ion-group
"$10,000,000 - $20,000,000",0.0,10000000,20000000.0,ion-group
