name,code,normal,lead,categories,fund_slug
India,IN,2,0,"[{'name': 'Blockchain Service', 'count': 1, 'percent': 50.0}, {'name': 'Blockchain Infrastructure', 'count': 1, 'percent': 50.0}]",k5ventures
Canada,CA,1,0,"[{'name': 'Blockchain Infrastructure', 'count': 1, 'percent': 100.0}]",k5ventures
Canada,CA,1,0,"[{'name': 'Blockchain Infrastructure', 'count': 1, 'percent': 100.0}]",atrum
Germany,DE,1,0,"[{'name': 'Blockchain Infrastructure', 'count': 1, 'percent': 100.0}]",abra
United States,US,1,0,"[{'name': 'Blockchain Service', 'count': 1, 'percent': 100.0}]",abra
Indonesia,ID,0,1,"[{'name': 'CeFi', 'count': 1, 'percent': 100.0}]",1982-ventures
France,FR,2,0,"[{'name': 'Blockchain Service', 'count': 2, 'percent': 100.0}]",caphorn
France,FR,1,0,"[{'name': 'Blockchain Service', 'count': 1, 'percent': 100.0}]",cite-gestion
Singapore,SG,1,0,"[{'name': 'Blockchain Service', 'count': 1, 'percent': 100.0}]",gtm-ventures
United Kingdom,GB,1,1,"[{'name': 'Blockchain Service', 'count': 2, 'percent': 100.0}]",praetura-ventuers
United Kingdom,GB,1,0,"[{'name': 'Blockchain Service', 'count': 1, 'percent': 100.0}]",reech-corporations-group
Singapore,SG,1,0,"[{'name': 'NFT', 'count': 1, 'percent': 100.0}]",avatar-dao
United States,US,2,0,"[{'name': 'Blockchain Service', 'count': 2, 'percent': 100.0}]",global-millenial
United Kingdom,GB,1,0,"[{'name': 'Blockchain Service', 'count': 1, 'percent': 100.0}]",hodlco
United Kingdom,GB,1,0,"[{'name': 'Blockchain Service', 'count': 1, 'percent': 100.0}]",metrea-discovery
United Kingdom,GB,1,0,"[{'name': 'Blockchain Service', 'count': 1, 'percent': 100.0}]",tirta-ventures
United Kingdom,GB,1,0,"[{'name': 'Blockchain Service', 'count': 1, 'percent': 100.0}]",vu-venture-partners
United States,US,2,4,"[{'name': 'NFT', 'count': 3, 'percent': 50.0}, {'name': 'Blockchain Service', 'count': 1, 'percent': 16.67}, {'name': 'GameFi', 'count': 1, 'percent': 16.67}, {'name': 'Social', 'count': 1, 'percent': 16.67}]",velvet-sea
United Kingdom,GB,1,0,"[{'name': 'CeFi', 'count': 1, 'percent': 100.0}]",velvet-sea
United Kingdom,GB,1,0,"[{'name': 'CeFi', 'count': 1, 'percent': 100.0}]",ion-group
United States,US,1,0,"[{'name': 'Blockchain Service', 'count': 1, 'percent': 100.0}]",iovc
United States,US,1,0,"[{'name': 'Blockchain Service', 'count': 1, 'percent': 100.0}]",the-y-startup-index-fund
Hong Kong,HK,2,0,"[{'name': 'NFT', 'count': 1, 'percent': 50.0}, {'name': 'CeFi', 'count': 1, 'percent': 50.0}]",angelhub
Australia,AU,1,0,"[{'name': 'NFT', 'count': 1, 'percent': 100.0}]",angelhub
Germany,DE,1,0,"[{'name': 'GameFi', 'count': 1, 'percent': 100.0}]",angelhub
United Kingdom,GB,1,0,"[{'name': 'NFT', 'count': 1, 'percent': 100.0}]",angelhub
United States,US,0,1,"[{'name': 'Blockchain Service', 'count': 1, 'percent': 100.0}]",angelhub
France,FR,0,1,"[{'name': 'DeFi', 'count': 1, 'percent': 100.0}]",la-poste-ventures
Hong Kong,HK,1,0,"[{'name': 'CeFi', 'count': 1, 'percent': 100.0}]",lavender-hill-capital-partners
United States,US,1,0,"[{'name': 'CeFi', 'count': 1, 'percent': 100.0}]",tmgm
Turkey,TR,1,0,"[{'name': 'Chain', 'count': 1, 'percent': 100.0}]",yildiz-tekno-gsyo
United States,US,1,0,"[{'name': 'Blockchain Service', 'count': 1, 'percent': 100.0}]",ashburyventures
United States,US,3,0,"[{'name': 'Blockchain Service', 'count': 1, 'percent': 33.33}, {'name': 'Social', 'count': 1, 'percent': 33.33}, {'name': 'NFT', 'count': 1, 'percent': 33.33}]",baller-ventures
United States,US,3,0,"[{'name': 'Blockchain Service', 'count': 2, 'percent': 66.67}, {'name': 'DeFi', 'count': 1, 'percent': 33.33}]",flourish-ventures
United States,US,3,0,"[{'name': 'Blockchain Service', 'count': 2, 'percent': 66.67}, {'name': 'Social', 'count': 1, 'percent': 33.33}]",human-ventures
India,IN,4,0,"[{'name': 'CeFi', 'count': 2, 'percent': 50.0}, {'name': 'Blockchain Service', 'count': 1, 'percent': 25.0}, {'name': 'GameFi', 'count': 1, 'percent': 25.0}]",kubevc
Singapore,SG,0,1,"[{'name': 'CeFi', 'count': 1, 'percent': 100.0}]",kubevc
United Kingdom,GB,1,0,"[{'name': 'Blockchain Service', 'count': 1, 'percent': 100.0}]",kubevc
United States,US,1,0,"[{'name': 'Blockchain Service', 'count': 1, 'percent': 100.0}]",kubevc
Canada,CA,0,1,"[{'name': 'CeFi', 'count': 1, 'percent': 100.0}]",dunamu-partners
South Korea,KR,1,0,"[{'name': 'Blockchain Infrastructure', 'count': 1, 'percent': 100.0}]",dunamu-partners
Thailand,TH,1,0,"[{'name': 'Blockchain Infrastructure', 'count': 1, 'percent': 100.0}]",dunamu-partners
United States,US,0,1,"[{'name': 'CeFi', 'count': 1, 'percent': 100.0}]",dunamu-partners
United Kingdom,GB,1,0,"[{'name': 'Social', 'count': 1, 'percent': 100.0}]",creatorled
United States,US,1,0,"[{'name': 'Blockchain Service', 'count': 1, 'percent': 100.0}]",creatorled
United States,US,1,0,"[{'name': 'Blockchain Service', 'count': 1, 'percent': 100.0}]",service-provider-capital
United States,US,1,0,"[{'name': 'Blockchain Service', 'count': 1, 'percent': 100.0}]",umami-capital
Brazil,BR,1,0,"[{'name': 'GameFi', 'count': 1, 'percent': 100.0}]",norte-ventures
United States,US,2,1,"[{'name': 'Blockchain Service', 'count': 2, 'percent': 66.67}, {'name': 'Blockchain Infrastructure', 'count': 1, 'percent': 33.33}]",communitas-asset-management
Cyprus,CY,1,0,"[{'name': 'CeFi', 'count': 1, 'percent': 100.0}]",communitas-asset-management
Israel,IL,1,0,"[{'name': 'Blockchain Service', 'count': 1, 'percent': 100.0}]",communitas-asset-management
United States,US,1,0,"[{'name': 'GameFi', 'count': 1, 'percent': 100.0}]",play-time
United States,US,4,0,"[{'name': 'GameFi', 'count': 4, 'percent': 100.0}]",1up-ventures
United Kingdom,GB,1,0,"[{'name': 'GameFi', 'count': 1, 'percent': 100.0}]",1up-ventures
South Africa,ZA,1,0,"[{'name': 'GameFi', 'count': 1, 'percent': 100.0}]",riot-games
Sweden,SE,1,0,"[{'name': 'Social', 'count': 1, 'percent': 100.0}]",dhs-venture
Sweden,SE,1,0,"[{'name': 'Social', 'count': 1, 'percent': 100.0}]",greens-ventures
United States,US,1,0,"[{'name': 'Chain', 'count': 1, 'percent': 100.0}]",moore-capital-management
Switzerland,CH,1,0,"[{'name': 'DeFi', 'count': 1, 'percent': 100.0}]",three-sigma
United Kingdom,GB,1,0,"[{'name': 'GameFi', 'count': 1, 'percent': 100.0}]",three-sigma
British Virgin Islands,VG,1,0,"[{'name': 'NFT', 'count': 1, 'percent': 100.0}]",mantis-partners
United States,US,0,1,"[{'name': 'GameFi', 'count': 1, 'percent': 100.0}]",marbruck-investments
United States,US,2,1,"[{'name': 'Blockchain Service', 'count': 3, 'percent': 100.0}]",kcrise-fund
United States,US,1,0,"[{'name': 'Blockchain Service', 'count': 1, 'percent': 100.0}]",flyover-capital
United States,US,1,0,"[{'name': 'Blockchain Service', 'count': 1, 'percent': 100.0}]",monochrome-capital
Barbados,BB,1,0,"[{'name': 'Blockchain Infrastructure', 'count': 1, 'percent': 100.0}]",encryptus
India,IN,1,0,"[{'name': 'Blockchain Service', 'count': 1, 'percent': 100.0}]",encryptus
Marshall Islands,MH,1,0,"[{'name': 'CeFi', 'count': 1, 'percent': 100.0}]",encryptus
Marshall Islands,MH,1,0,"[{'name': 'CeFi', 'count': 1, 'percent': 100.0}]",fhs-capital
Cayman Islands,KY,1,0,"[{'name': 'DeFi', 'count': 1, 'percent': 100.0}]",purpose-investments
Singapore,SG,0,1,"[{'name': 'DeFi', 'count': 1, 'percent': 100.0}]",shanda-group
Switzerland,CH,0,1,"[{'name': 'Blockchain Service', 'count': 1, 'percent': 100.0}]",summit-io
United States,US,3,0,"[{'name': 'NFT', 'count': 2, 'percent': 66.67}, {'name': 'Blockchain Service', 'count': 1, 'percent': 33.33}]",chaos-ventures
Cayman Islands,KY,1,0,"[{'name': 'CeFi', 'count': 1, 'percent': 100.0}]",chaos-ventures
India,IN,1,0,"[{'name': 'GameFi', 'count': 1, 'percent': 100.0}]",kratos-studios
United States,US,1,0,"[{'name': 'Blockchain Service', 'count': 1, 'percent': 100.0}]",dhuna-ventures
United States,US,2,1,"[{'name': 'CeFi', 'count': 2, 'percent': 66.67}, {'name': 'Blockchain Service', 'count': 1, 'percent': 33.33}]",hanaco-venture
United States,US,1,0,"[{'name': 'Blockchain Service', 'count': 1, 'percent': 100.0}]",cyphr
Taiwan,TW,1,0,"[{'name': 'Blockchain Service', 'count': 1, 'percent': 100.0}]",ipx
India,IN,1,0,"[{'name': 'GameFi', 'count': 1, 'percent': 100.0}]",nazara-technologies
United States,US,1,0,"[{'name': 'Blockchain Service', 'count': 1, 'percent': 100.0}]",possibilian
France,FR,0,1,"[{'name': 'Blockchain Service', 'count': 1, 'percent': 100.0}]",weber-investissements
United States,US,21,0,"[{'name': 'DeFi', 'count': 8, 'percent': 38.1}, {'name': 'Blockchain Service', 'count': 6, 'percent': 28.57}, {'name': 'NFT', 'count': 2, 'percent': 9.52}, {'name': 'GameFi', 'count': 2, 'percent': 9.52}, {'name': 'Blockchain Infrastructure', 'count': 1, 'percent': 4.76}, {'name': 'Social', 'count': 1, 'percent': 4.76}, {'name': 'Chain', 'count': 1, 'percent': 4.76}]",defi-alliance
United Kingdom,GB,7,0,"[{'name': 'DeFi', 'count': 5, 'percent': 71.43}, {'name': 'CeFi', 'count': 1, 'percent': 14.29}, {'name': 'Chain', 'count': 1, 'percent': 14.29}]",defi-alliance
Singapore,SG,5,0,"[{'name': 'DeFi', 'count': 3, 'percent': 60.0}, {'name': 'Chain', 'count': 2, 'percent': 40.0}]",defi-alliance
Australia,AU,3,0,"[{'name': 'Blockchain Service', 'count': 1, 'percent': 33.33}, {'name': 'GameFi', 'count': 1, 'percent': 33.33}, {'name': 'DeFi', 'count': 1, 'percent': 33.33}]",defi-alliance
Vietnam,VN,1,1,"[{'name': 'GameFi', 'count': 2, 'percent': 100.0}]",defi-alliance
China,CN,2,0,"[{'name': 'DeFi', 'count': 2, 'percent': 100.0}]",defi-alliance
India,IN,2,0,"[{'name': 'DeFi', 'count': 2, 'percent': 100.0}]",defi-alliance
Netherlands,NL,1,0,"[{'name': 'Blockchain Service', 'count': 1, 'percent': 100.0}]",defi-alliance
New Zealand,NZ,1,0,"[{'name': 'Blockchain Infrastructure', 'count': 1, 'percent': 100.0}]",defi-alliance
Nigeria,NG,1,0,"[{'name': 'Blockchain Service', 'count': 1, 'percent': 100.0}]",defi-alliance
Poland,PL,1,0,[],defi-alliance
Serbia,RS,1,0,[],defi-alliance
Germany,DE,1,0,[],defi-alliance
Switzerland,CH,1,0,[],defi-alliance
France,FR,1,0,[],defi-alliance
Estonia,EE,1,0,[],defi-alliance
Canada,CA,1,0,[],defi-alliance
United States,US,1,0,"[{'name': 'Blockchain Service', 'count': 1, 'percent': 100.0}]",essence-venture-capital
United States,US,1,0,"[{'name': 'Blockchain Service', 'count': 1, 'percent': 100.0}]",metareal-network
United States,US,1,0,"[{'name': 'Blockchain Service', 'count': 1, 'percent': 100.0}]",taurus-ventures
United States,US,2,0,"[{'name': 'Blockchain Service', 'count': 1, 'percent': 50.0}, {'name': 'Chain', 'count': 1, 'percent': 50.0}]",fantom-foundation
Canada,CA,1,0,"[{'name': 'Blockchain Infrastructure', 'count': 1, 'percent': 100.0}]",fantom-foundation
Norway,NO,1,0,"[{'name': 'Blockchain Infrastructure', 'count': 1, 'percent': 100.0}]",fantom-foundation
Vietnam,VN,0,1,"[{'name': 'GameFi', 'count': 1, 'percent': 100.0}]",fantom-foundation
United States,US,1,0,"[{'name': 'Blockchain Service', 'count': 1, 'percent': 100.0}]",kitefin-capital
Norway,NO,1,0,"[{'name': 'Blockchain Infrastructure', 'count': 1, 'percent': 100.0}]",unstoppable-domains
United States,US,3,0,"[{'name': 'GameFi', 'count': 3, 'percent': 100.0}]",sisu-game-ventures
Japan,JP,2,0,"[{'name': 'GameFi', 'count': 2, 'percent': 100.0}]",sisu-game-ventures
Finland,FI,1,0,"[{'name': 'GameFi', 'count': 1, 'percent': 100.0}]",sisu-game-ventures
France,FR,0,1,"[{'name': 'GameFi', 'count': 1, 'percent': 100.0}]",sisu-game-ventures
France,FR,1,0,"[{'name': 'GameFi', 'count': 1, 'percent': 100.0}]",2b-global
United States,US,0,1,"[{'name': 'CeFi', 'count': 1, 'percent': 100.0}]",2b-global
China,CN,2,0,"[{'name': 'CeFi', 'count': 2, 'percent': 100.0}]",lingfeng-capital
Switzerland,CH,1,1,"[{'name': 'Blockchain Service', 'count': 2, 'percent': 100.0}]",lingfeng-capital
United States,US,2,0,"[{'name': 'Blockchain Service', 'count': 1, 'percent': 50.0}, {'name': 'Social', 'count': 1, 'percent': 50.0}]",lingfeng-capital
Antigua and Barbuda,AG,1,0,"[{'name': 'DeFi', 'count': 1, 'percent': 100.0}]",lingfeng-capital
Hong Kong,HK,1,0,"[{'name': 'CeFi', 'count': 1, 'percent': 100.0}]",lingfeng-capital
United Kingdom,GB,1,0,"[{'name': 'CeFi', 'count': 1, 'percent': 100.0}]",lingfeng-capital
